"","speed","dir","date"
"1",0.645220759193388,4.28823739504378,2016-03-01
"2",0.193438893594351,11.6248217531366,2016-04-01
"3",0.216694127112414,17.8791528655171,2016-05-01
"4",-0.214518659144765,19.6024056863095,2016-06-01
"5",-0.57115121927114,13.3549553576921,2016-07-01
"6",-0.551355637676474,1.21062104571986,2016-08-01
"7",-0.659501880465922,-14.6392128891421,2016-09-01
"8",-0.12381576090595,-30.7628866789673,2016-10-01
"9",0.0955119260084174,-42.4960744843043,2016-11-01
"10",0.380629505974646,-47.4406508992371,2016-12-01
"11",0.598309726426811,-44.6053894543139,2017-01-01
"12",0.399252388972384,-34.6305721150104,2017-02-01
"13",0.407039531035881,-19.1328543036879,2017-03-01
"14",0.0169625283200053,-1.64101246122097,2017-04-01
"15",-0.109122171861515,13.0890927802401,2017-05-01
"16",-0.288651992411617,21.2793204873584,2017-06-01
"17",-0.442764734909232,20.6838263538157,2017-07-01
"18",-0.297423248205521,11.883601365031,2017-08-01
"19",-0.397993067870412,-2.97868333219237,2017-09-01
"20",-0.126044010156515,-19.885059732686,2017-10-01
"21",-0.0681980624658218,-34.8632331181351,2017-11-01
"22",0.17336647740181,-44.0688475864367,2017-12-01
"23",0.498026135767774,-45.5586447158434,2018-01-01
"24",0.507561271188557,-38.6964252624858,2018-02-01
"25",0.662743174983503,-25.6043344976057,2018-03-01
"26",0.293069839488304,-9.20587466609564,2018-04-01
"27",-0.0005969394573557,6.12674234333968,2018-05-01
"28",-0.423986010698962,16.5664629786923,2018-06-01
"29",-0.730429436511848,19.6887977429012,2018-07-01
"30",-0.580267920845489,15.0913803479382,2018-08-01
"31",-0.501616343109527,4.29667018664609,2018-09-01
"32",-0.00809710348397671,-9.84008894879302,2018-10-01
"33",0.231329190557674,-23.8777949901039,2018-11-01
"34",0.457245943890313,-34.3959295657652,2018-12-01
"35",0.544201208340006,-39.050075768549,2019-01-01
"36",0.291914764242774,-36.9092793424006,2019-02-01
"37",0.269090817628904,-29.4042959787427,2019-03-01
"38",-0.014329352726233,-19.0949073991928,2019-04-01
"39",-0.0455510332302333,-9.4883087865824,2019-05-01
"40",-0.135217080357214,-3.16700566463324,2019-06-01
"41",-0.267201255817142,-1.67382331047183,2019-07-01
"42",-0.212087115026148,-4.6979846950391,2019-08-01
"43",-0.376341854914574,-10.9477179521857,2019-09-01
"44",-0.201465748665843,-17.8321485807122,2019-10-01
"45",-0.0992055522024756,-22.8044721616146,2019-11-01
"46",0.180499284098506,-22.8849025563889,2019-12-01
"47",0.485919386028642,-16.7747897816286,2020-01-01
"48",0.494226512220663,-4.72449381988653,2020-02-01
"49",0.544150864586149,11.1315137418979,2020-03-01
"50",0.177663504291599,27.2927705884142,2020-04-01
"51",-0.0935730338728488,39.5364199902744,2020-05-01
"52",-0.386427639007272,45.3428899489885,2020-06-01
"53",-0.587398773131963,43.5365739719894,2020-07-01
"54",-0.420448950813673,34.6546334901917,2020-08-01
"55",-0.343814547285524,20.9526127197302,2020-09-01
"56",0.0101036380683614,5.87785837747926,2020-10-01
"57",0.154999415877427,-6.61404027203601,2020-11-01
"58",0.256766629550667,-13.0085033365896,2020-12-01
"59",0.344188330924901,-11.6350008775309,2021-01-01
"60",0.249005307822836,-2.95030426275984,2021-02-01
"61",0.370780604906729,10.0508400300423,2021-03-01
"62",0.222995458327667,23.8638545458499,2021-04-01
"63",0.160322643330856,34.46471716977,2021-05-01
"64",-0.0432613352064596,39.14564472864,2021-06-01
"65",-0.371515405265596,36.1034544187298,2021-07-01
"66",-0.492844235219011,25.8722202200253,2021-08-01
"67",-0.691494681251977,10.4101648845466,2021-09-01
"68",-0.438275479904659,-6.34147651074725,2021-10-01
"69",-0.145679082260134,-20.1948839690128,2021-11-01
"70",0.233981331488734,-27.0913379654505,2021-12-01
"71",0.609284171770568,-25.7278587923473,2022-01-01
"72",0.630672709413589,-16.3717138386179,2022-02-01
"73",0.602533258176986,-1.85789126629503,2022-03-01
"74",0.173317713169072,14.0792220731363,2022-04-01
"75",-0.176408180257015,27.6077201856931,2022-05-01
"76",-0.461537041058191,35.5731039064853,2022-06-01
"77",-0.616734259192618,35.9553884864937,2022-07-01
"78",-0.447519959666733,28.9965100094538,2022-08-01
"79",-0.354351671873216,16.9693341645287,2022-09-01
"80",-0.035949061006781,3.92218638801698,2022-10-01
"81",0.121898840562903,-5.56419251581468,2022-11-01
"82",0.254266970979042,-8.42457127403425,2022-12-01
"83",0.412963886741045,-4.23991617205798,2023-01-01
"84",0.362150946683211,5.80597236890853,2023-02-01
"85",0.411203418332606,18.9920286074499,2023-03-01
"86",0.132649868286379,32.4235026444617,2023-04-01
"87",-0.152406119124035,42.1578068730362,2023-05-01
"88",-0.510868738929859,46.1856832473774,2023-06-01
"89",-0.839122048105199,40.077701433923,2023-07-01
"90",-0.778664237623899,25.5109982604715,2023-08-01
"91",-0.686882804884247,4.9492309852241,2023-09-01
"92",-0.152635076501518,-15.7294055012231,2023-10-01
"93",0.290161070178298,-31.1917141211434,2023-11-01
"94",0.638693027445279,-37.9552366910161,2023-12-01
"95",0.919295192490965,-35.1860722634414,2024-01-01
"96",0.56598223580989,-26.7416391064195,2024-02-01
