"","date","BR","BRE"
"1",2016-03-01,1.423898615,1.864928549
"2",2016-05-01,1.20296224,1.4492311975
"3",2016-06-01,1.389563756,1.728106871
"4",2016-09-01,1.413293011,1.714814034
"5",2017-01-01,1.2458325625,1.426951046
"6",2017-02-01,1.284214667,1.464731041
"7",2017-04-01,1.087280775,1.173898456
"8",2017-05-01,1.134208827,1.273182991
"9",2017-06-01,1.196946661,1.431299653
"10",2017-07-01,1.183915803,1.3057130775
"11",2017-08-01,1.212612724,1.4686615125
"12",2017-09-01,1.179015942,1.356541815
"13",2017-10-01,1.405898134,1.534604224
"14",2017-11-01,1.302099781,1.719688394
"15",2017-12-01,1.26087770266667,1.69195493033333
"16",2018-01-01,1.1851328125,1.56182869275
"17",2018-02-01,1.158905684,1.534898884
"18",2018-03-01,1.29359986825,1.60480396425
"19",2018-04-01,1.2582204085,1.5536501415
"20",2018-05-01,1.225443504,1.5260798425
"21",2018-06-01,1.261090211,1.631872351
"22",2018-07-01,1.1350688995,1.4637483765
"23",2018-08-01,1.297740461,1.65872202725
"24",2018-09-01,1.09478971066667,1.50822840833333
"25",2018-10-01,1.2087138565,1.601293208
"26",2018-11-01,1.312598255,1.727776486
"27",2018-12-01,1.46207889266667,1.899145012
"28",2019-01-01,1.588385632,2.40288058
"29",2019-02-01,1.597817458,2.539740093
"30",2019-03-01,1.5887856405,2.4559498805
"31",2019-04-01,1.901152231,3.056759416
"32",2019-05-01,1.520190474,2.37817408366667
"33",2019-06-01,1.894904865,3.084419529
"34",2019-07-01,1.6581638635,2.53589872075
"35",2019-08-01,1.029396838,1.7368137775
"36",2019-10-01,1.525139794,2.2800191
"37",2019-11-01,1.717728237,2.694432909
"38",2019-12-01,1.780180752,2.699039612
"39",2020-01-01,1.846978784,3.315353997
"40",2020-02-01,1.510076736,2.442860559
"41",2020-03-01,1.385802136,1.886954605
"42",2020-04-01,1.19773441333333,1.42887504366667
"43",2020-05-01,1.4468657465,1.988860641
"44",2020-06-01,1.592841931,2.493102933
"45",2020-07-01,1.567286979,2.302771493
"46",2020-08-01,1.494276457,2.052174279
"47",2020-12-01,1.941909561,2.659210128
"48",2021-01-01,1.54906657433333,2.43536339
"49",2021-02-01,1.61962453933333,2.34839266333333
"50",2021-03-01,1.35397875575,1.70633114175
"51",2021-04-01,1.5169073105,1.8612484915
"52",2021-05-01,1.37544676766667,1.814400636
"53",2021-06-01,1.270977755,1.618292325
"54",2021-07-01,1.554215166,2.1217270795
"55",2021-08-01,1.349566201,1.5945371015
"56",2021-09-01,1.699175255,2.354792106
"57",2021-10-01,1.538822348,1.963200169
"58",2022-01-01,1.318210644,1.575041507
"59",2022-02-01,1.237697378,1.46627828766667
"60",2022-03-01,1.303676203,1.630258223
"61",2022-04-01,1.274263509,1.542961093
"62",2022-05-01,1.346463897,1.549677969
"63",2022-06-01,1.26071537233333,1.59586940433333
"64",2022-07-01,1.30984979825,1.582186908
"65",2022-08-01,1.300507084,1.5411664625
"66",2022-09-01,1.320517881,1.688955377
"67",2022-10-01,1.4035596,1.8126903685
"68",2022-11-01,1.465476782,1.783674557
"69",2022-12-01,1.3571772,1.639728298
"70",2023-01-01,1.2946929348,1.5275304894
"71",2023-02-01,1.234353933,1.507755006
"72",2023-03-01,1.36730696775,1.66810528375
"73",2023-04-01,1.271603029,1.4724113875
"74",2023-05-01,1.272104461,1.464468126
"75",2023-06-01,1.21098664375,1.3977410245
"76",2023-07-01,1.39754360125,1.71148787825
"77",2023-08-01,1.222879722,1.410176377
"78",2023-09-01,1.287789228,1.642423768
"79",2023-10-01,1.337690683,1.642249507
"80",2023-11-01,1.26461593666667,1.549773757
"81",2023-12-01,1.39780618333333,1.69571536233333
"82",2024-01-01,1.222638804,1.5189963865
"83",2024-02-01,1.282831165,1.583351368
"84",2024-03-01,1.246847995,1.54662167133333
