"","actn","actp","gchl","gDO","gsal","gtemp","gmeanstage","acflow","acmaxstage","acminstage","date"
"1",56.4413057724727,0.257473396433861,-3.81844546482767,4.66849745480887,-3.46297219088319,-3.51651188878882,-0.143405414922271,0.979417216701967,-0.362424669141074,-0.282457079630986,"2016-02-28"
"2",57.9870882290473,0.218700007688886,-4.15111562913268,4.87057266131362,-3.24566326097731,-3.29709852924782,-0.145744005359142,-0.208434085843627,-0.371571279728039,-0.279218292104325,"2016-03-02"
"3",59.3113771176247,0.182259825620148,-4.51640068973391,5.38141436863313,-2.98785489627942,-3.16480722343178,-0.148955253724572,-3.44245042159687,-0.333311175167581,-0.258839916933349,"2016-03-05"
"4",60.7397835727499,0.144705107094003,-4.92968781526277,6.13483979676579,-2.49937664178848,-3.02493788701212,-0.152218042801491,-5.16281851559459,-0.255061258650429,-0.221737077274206,"2016-03-08"
"5",62.4294942928172,0.109920520908051,-5.23264205640508,7.4832856205219,-2.03623271415236,-2.86941239436403,-0.15910180767187,-6.7056177444447,-0.155185915588229,-0.177585925423032,"2016-03-11"
"6",64.2068166838881,0.0813722394467969,-5.50143886825313,9.14666825627826,-1.57672904597839,-2.71439155607334,-0.165725039950722,-8.41137456203067,-0.0580592211424032,-0.13274158740349,"2016-03-14"
"7",66.3159069318054,0.0553067137853548,-5.85179253498236,10.7160428521515,-1.10635365460736,-2.57705257396788,-0.174634175621724,-9.88492866977502,0.00910355274703464,-0.0947751068991497,"2016-03-17"
"8",68.6946777517063,0.0267359344203391,-6.2836493031011,12.0596178011518,-0.641433530766045,-2.45254660903064,-0.180548455682361,-12.7205281432568,0.0407594895954888,-0.065426404972778,"2016-03-20"
"9",70.8815906070412,-0.00355298100937705,-6.69051771945377,13.3312625325949,-0.222713499815684,-2.32909892972905,-0.186150237243575,-13.0451700676872,0.0315219619932157,-0.0585055308123923,"2016-03-22"
"10",72.8676757649381,-0.0354405329014999,-7.13633212985778,14.218422593756,0.169714967143819,-2.17200080027715,-0.184842057165532,-14.8763159582602,-0.00756409122099183,-0.071078816640247,"2016-03-25"
"11",74.6854898266167,-0.0639810811445678,-7.52397966564386,14.8371409726132,0.525101800790187,-2.01664636478811,-0.18163340531109,-16.9429581834488,-0.0802719939771154,-0.107370868033033,"2016-03-28"
"12",76.1774091447351,-0.0878942481990509,-7.9097794389965,14.8988693821336,0.861072647972848,-1.87167110519985,-0.179457153296756,-19.066635350221,-0.180419267051085,-0.158690320153101,"2016-03-31"
"13",77.0648739613123,-0.108362594844483,-8.23816833136206,14.4394925055742,1.2092430496416,-1.72611398892467,-0.176522191008948,-20.295156864625,-0.287282083414216,-0.211386809409931,"2016-04-03"
"14",76.9904181448471,-0.122928437491103,-8.47528781367754,13.4733542955957,1.60401729787025,-1.57731376153339,-0.168603837780409,-22.2639406175387,-0.37153887155777,-0.252411932961349,"2016-04-06"
"15",75.9070731161802,-0.131258595930319,-8.60380564737628,12.0199941517213,2.08837619278084,-1.41456496344223,-0.156703876090733,-23.691652617208,-0.415611760861975,-0.273916645403615,"2016-04-09"
"16",73.8338776739577,-0.131265644366472,-8.65864374162194,10.0065560227552,2.66671098942212,-1.24382329131093,-0.142407294395684,-25.0528754392072,-0.423235768805449,-0.271971720451887,"2016-04-12"
"17",70.7131135741975,-0.124305622365189,-8.56843861753697,7.70329340710497,3.33999419313642,-1.06350105056105,-0.126590083302946,-26.7438426127208,-0.401688985017643,-0.242268427398752,"2016-04-15"
"18",66.8067251710806,-0.109947759495525,-8.37404624120579,5.12874728922175,4.0939151803202,-0.88334841308268,-0.111995921921547,-26.8013876253747,-0.357633077733669,-0.188671935943739,"2016-04-18"
"19",62.3439885405034,-0.0912458763016927,-8.07060223105559,2.45332650205797,4.91932217269985,-0.690362602048801,-0.0953028597330971,-26.9906102776599,-0.290173952842886,-0.114423027440902,"2016-04-20"
"20",57.9070176013867,-0.0656256181807813,-7.67164049858156,-0.181739197938072,5.78442822217977,-0.48713964169686,-0.0811995843291958,-27.0443338535921,-0.215316453860694,-0.0364854091130579,"2016-04-24"
"21",54.0112515083755,-0.0343256027862766,-7.19970838541417,-2.64408613011212,6.64512294476961,-0.280423184803568,-0.0698461408793975,-27.6152377666866,-0.152620912769117,0.0282359151484824,"2016-04-27"
"22",50.9316354041666,-0.000417404553608669,-6.66745922057577,-4.78745189778366,7.45109466738489,-0.0726826818007185,-0.0635936006381563,-26.3559907170587,-0.117988022042333,0.0638232401066607,"2016-04-30"
"23",48.9153835123144,0.0351696193912686,-6.1013886400447,-6.52402331956072,8.14918173085341,0.135958215928912,-0.0620306660797285,-25.2716984615124,-0.112550891197911,0.0622729397962991,"2016-05-03"
"24",48.1237715213846,0.0722918655580802,-5.53544950602623,-7.82111535585848,8.69918919267518,0.343053246771055,-0.0643836218371541,-23.7424883426905,-0.129425520358422,0.0245417843817689,"2016-05-06"
"25",48.71562068504,0.110054993952855,-4.98714903851261,-8.62973864052575,9.07342225092566,0.554370520482242,-0.0710534287199714,-22.3998206817382,-0.163996178996058,-0.0393831617355729,"2016-05-09"
"26",50.5461719922817,0.146193921607424,-4.4817746547899,-8.97735279930797,9.24721616489628,0.768317266738211,-0.0798666320312557,-20.7337949212274,-0.214828676949872,-0.113356863738385,"2016-05-12"
"27",53.3195254755131,0.182340066980187,-4.03906028517543,-8.91932618921659,9.21965651164935,0.981621381406903,-0.091520844031664,-18.7625064083547,-0.279297853492949,-0.179675451110892,"2016-05-15"
"28",56.7110421508459,0.216914564956694,-3.68414036999969,-8.54853570798623,9.01190295078658,1.19007078226639,-0.104482695163227,-16.7180804588812,-0.342689365878856,-0.223976734876378,"2016-05-18"
"29",60.1979386397942,0.247985167934285,-3.42714872426679,-7.95067843803906,8.65981343920289,1.39280772498842,-0.118241824135444,-14.9746514790465,-0.38903326559922,-0.2412529627438,"2016-05-21"
"30",63.3990171116332,0.273333145594273,-3.27501943428568,-7.22192308031508,8.21623868739663,1.58796151007894,-0.131905370007081,-13.62952637997,-0.408849074420034,-0.231669201876003,"2016-05-24"
"31",66.1345616837041,0.291687527647278,-3.2312339712582,-6.45543567710274,7.73291777749832,1.7775239425624,-0.144056815448402,-12.0150017311794,-0.404931236649831,-0.200350310695213,"2016-05-26"
"32",68.2934674734659,0.304517672508493,-3.29432860793671,-5.73397606207296,7.26124380184129,1.9646315872785,-0.154385211886241,-10.4377566770083,-0.383053346291848,-0.15538275996416,"2016-05-29"
"33",70.1427674120353,0.3151573434278,-3.45985570647878,-5.12453019729493,6.84159618495758,2.14506808111301,-0.163043070741877,-8.83782236089429,-0.345655278395072,-0.108625737576279,"2016-06-01"
"34",71.692859189052,0.32266947785117,-3.71779935639683,-4.67611242615856,6.49906243149221,2.3188591412364,-0.168276266935214,-8.45437497191754,-0.290955012877831,-0.069376317695425,"2016-06-04"
"35",72.9863004034473,0.326795613163775,-4.05956997846033,-4.4177605858664,6.23329096768043,2.4835056591662,-0.171589588769892,-7.36903914597953,-0.227065105436308,-0.0459524236594419,"2016-06-07"
"36",73.9474800671765,0.326611525356854,-4.47131043331881,-4.34479123715132,6.03338600013969,2.64124622871767,-0.173813056235474,-6.43165715166073,-0.169896684009532,-0.0428959975194232,"2016-06-10"
"37",74.632311646013,0.321915400285945,-4.95720788423247,-4.44219182633167,5.87220751645081,2.78996763656453,-0.17441422720995,-4.98894308112527,-0.127966634464908,-0.0543926346975147,"2016-06-13"
"38",74.8308149717713,0.312546446195405,-5.49998551175912,-4.69204411805697,5.71235976630075,2.92702175623822,-0.172619088288358,-4.41725183248412,-0.0999198108118152,-0.0723361828985014,"2016-06-16"
"39",74.5623361039979,0.298655537684722,-6.07331776305835,-5.0331560684722,5.51174994503696,3.05301236272034,-0.168404650906068,-3.49109640747415,-0.0795648021116859,-0.0879473583765779,"2016-06-19"
"40",73.7734316587099,0.279874305824961,-6.67489989047068,-5.45161541427571,5.22981160337215,3.16624877315574,-0.162014150983637,-2.46504680743353,-0.064412280872096,-0.0920664762887048,"2016-06-22"
"41",72.488666644156,0.257200599019852,-7.28993961285936,-5.90070327953897,4.83740697950797,3.26808618673517,-0.152361652985191,-1.11039232540243,-0.0586773617384341,-0.0794893969200114,"2016-06-26"
"42",70.7429868342614,0.229033834281961,-7.88817824622475,-6.30079847142853,4.31407120707725,3.35623379543389,-0.141263886803124,0.419871447770526,-0.0676942450772505,-0.0524755106918733,"2016-06-29"
"43",68.475356594127,0.197100277419584,-8.45324529375413,-6.620181917705,3.66612744582855,3.42953987320367,-0.128217001501895,1.96694939507823,-0.086965004572931,-0.0170592534831698,"2016-07-02"
