"","gtnload","gtpload","gdocload"
"1",2944.39497394196,28.1848855945142,41560.6705407952
"2",1140.21160811224,3.81671172449443,20927.0744078504
"3",-625.08922454497,-14.9224749878972,1514.32075303377
"4",-1086.0097259613,-18.9262453460631,-9425.1940434645
"5",530.652067153665,8.48470833679915,5585.41146785627
"6",3588.54535082843,66.7806313159311,44412.8277214903
"7",6582.4683064305,120.183185631334,74530.0023031301
"8",7794.24277125692,129.839741517992,75297.5802867176
"9",6980.85975936492,106.503372154884,67827.8686624329
"10",4653.39393281291,73.9271727675115,49474.4474474631
"11",1872.27169543165,35.8457241601797,13362.7855675773
"12",-186.040670409544,-9.54652828673185,-19081.6257302248
"13",-1059.89499948664,-36.0358061413977,-27614.7033401065
"14",-966.276505135549,-13.7311326481979,-16334.0594456446
"15",-404.821722773994,32.2857896484393,-1593.18213240008
"16",414.909547489607,49.4236248637208,5846.83672452517
"17",1722.88278538853,42.7380036403633,7133.72558029006
"18",3780.03678672657,64.2108936360851,23407.6355620744
"19",6228.4875907371,115.257566765251,67830.9024590572
"20",8144.45085949516,136.61311677638,104339.780739501
"21",8401.13648781579,103.357686996474,83890.9458344501
"22",6689.85984264527,59.8974439058591,34465.6015755867
"23",3762.78329996767,33.8765877097153,13014.7771721255
"24",1140.56570476955,1.35299230371098,12056.325809103
"25",286.97121762957,-36.8497621732134,-758.35989960617
"26",1661.30952415849,-28.260275259294,550.042325000453
"27",4370.58752385491,41.7347084049866,45648.575128788
"28",6742.27783778643,106.04008735732,91102.4434192129
"29",7430.06433647082,108.002242608775,85066.9659177147
"30",6191.17558803683,76.0669150212076,49658.5010531758
"31",3940.34408288861,59.920226480753,31455.0958858563
"32",1993.98558755399,55.8666503897214,30057.2095076528
"33",1192.38799501075,45.8130976372025,27102.5203232283
"34",1349.86730332754,47.0677175958184,20438.6005865897
"35",1612.16834685573,69.4625400212743,11133.7505619695
"36",1239.42882482951,75.4299150924792,1380.00720669803
"37",270.771875700406,41.218167060225,213.133466171508
"38",-604.175405411894,6.45815197897576,4944.09927708516
"39",-619.266799476589,10.8393111851241,5649.37757246814
"40",436.231808354833,32.9100205002135,4915.98536761237
"41",2098.01308199234,43.4286091578827,8514.14777462601
"42",3565.06149591531,58.3637883550185,14905.3386618509
"43",4242.63527428687,87.3097746980938,26379.834408675
"44",4236.10080064487,93.8121968936335,41505.5747507908
"45",4083.63616635968,63.4137841201175,45101.4298247522
"46",4216.79732235537,49.2439595813463,41388.9042631438
"47",4480.39169145778,82.5123769681607,52902.049276796
"48",4244.35658170947,105.529388193283,63139.2312271363
"49",2983.34548999781,65.6894973993978,34591.1010047543
"50",1022.23568512465,6.07513641778831,-3342.43370813223
"51",-734.75769397691,-11.7115976703955,-253.380020086455
"52",-1100.79060522754,-4.38722202992937,18886.1252985887
"53",551.623700450098,-6.74185380207021,8320.52247093604
"54",3822.30367567859,18.3193073283272,6092.97052514543
"55",7374.72515206488,105.275971796386,57221.0239030924
"56",9654.45671949893,184.815212879667,111795.916249017
"57",9702.99753757737,168.384725799932,105353.145802704
"58",7756.98870540192,89.098974265798,62682.2141468439
"59",4917.33942174021,41.6113648547251,31543.3347761584
"60",2367.57152153957,34.6813546342619,10659.2242739175
"61",780.328463875539,15.2055660105289,-7642.4212191394
"62",113.906857035428,-10.8200387916826,-12134.7060063057
"63",-21.6067205356231,1.25449774250325,-4316.84044372284
"64",88.6810268879838,32.3787535597437,2614.30676257211
"65",465.615741927527,35.1328964555419,5982.55864860956
"66",1225.35102309855,36.2279093822164,10276.1819634342
"67",2256.51564507492,89.9708582988206,25379.7273736121
"68",3061.86349482053,161.548642394344,54635.0440979127
"69",3077.24848256067,169.430815495704,72956.1778061255
"70",2077.62029691472,113.42543073179,54515.3099215487
"71",513.632363882081,56.4711255687193,22402.1547219346
"72",-677.244929577253,11.5260372870103,7095.01067334992
"73",-694.180233490607,-37.9216480957253,-2789.32698818706
"74",595.48393827694,-47.9613549775325,-3953.18446455998
"75",2552.70540901152,23.3017518096063,35678.8650852997
"76",4208.66487794854,105.404395610781,82649.6007412966
"77",4836.41492112245,101.527260517754,61339.0872020571
"78",4562.68309352118,52.4256808325266,7052.24132049191
"79",4104.71225792803,66.7812761602404,12393.3468814847
"80",4045.00759075475,127.135081167575,57143.6874549779
"81",4316.29094670688,127.657225268618,60724.1659823565
"82",4532.57267146268,75.5856533763979,39117.5147649063
"83",4189.04686041304,63.944351617897,40887.0499973845
"84",3148.69409852115,81.5099064202247,39259.3238305677
"85",1764.39562470845,37.22205196698,6068.44326901072
"86",742.79833253128,-39.8162447077789,-17243.3934218946
"87",649.471124955289,-21.590112748141,-4691.55550733888
"88",1529.40486509431,88.4659063180351,14367.4855486061
"89",2810.85858289086,139.446961039435,19747.2299858143
"90",3854.0438695706,83.3660626761857,15969.0643468287
"91",4727.41343176677,43.8321295819767,11305.3909299536
"92",5538.74231722061,87.0398996968756,26303.2095290619
"93",6470.41135952308,128.323654203631,70374.7426181434
"94",6920.71284534974,103.739381587138,102410.022819621
"95",6291.08532258115,75.9608787649098,86034.8458498895
"96",4262.25066176227,88.8002720313749,41998.6124579706
