"","chp_stage"
"1",-0.175039581217022
"2",-0.405833158650574
"3",-0.363365922934041
"4",-0.0814900855436121
"5",0.0941603107969148
"6",0.151042835756287
"7",0.342627867527299
"8",0.577634778025596
"9",0.515788668049227
"10",0.148824300089732
"11",-0.18691922825914
"12",-0.37042874121413
"13",-0.563141997247282
"14",-0.731837263228403
"15",-0.63421910403219
"16",-0.295228659901314
"17",0.0178893027048331
"18",0.281960720929733
"19",0.595807169001892
"20",0.751472063903918
"21",0.533257478727042
"22",0.172146773658673
"23",-0.0099738115924677
"24",-0.133190926705363
"25",-0.436584792747177
"26",-0.690096622189116
"27",-0.514090981303181
"28",-0.0792370789435563
"29",0.132820610140111
"30",0.10267783031118
"31",0.197825872367335
"32",0.421014375343045
"33",0.395875294522703
"34",0.0671824649369302
"35",-0.198470848453945
"36",-0.238251969711845
"37",-0.251736257431614
"38",-0.31522914220091
"39",-0.266475658234381
"40",-0.0791176727664893
"41",0.101881102500555
"42",0.259369289295162
"43",0.447962820630052
"44",0.511879844815797
"45",0.299412503944529
"46",0.0328391035221215
"47",-0.0351562778050433
"48",-0.107704057166648
"49",-0.445679903223773
"50",-0.754952766610449
"51",-0.600317359221642
"52",-0.17992260225233
"53",0.00776026981485241
"54",0.025197062634225
"55",0.293140684239101
"56",0.723996856652029
"57",0.804800431340735
"58",0.463602907408318
"59",0.127564184312633
"60",-0.0314626156895217
"61",-0.232604098803995
"62",-0.50883036316393
"63",-0.615524469187712
"64",-0.486845008026506
"65",-0.270386405722763
"66",-0.00892771238129572
"67",0.298891629685512
"68",0.466879786796806
"69",0.350612136574101
"70",0.165266088021988
"71",0.136949871787893
"72",0.0551323239083695
"73",-0.295293080860055
"74",-0.566364207832958
"75",-0.343354615376039
"76",0.0879765730297985
"77",0.183860273675069
"78",0.0906819922422599
"79",0.289128167409029
"80",0.618957863795765
"81",0.528003804019318
"82",0.0669373275902641
"83",-0.237991013252514
"84",-0.295121554844263
"85",-0.433017841600625
"86",-0.632475392166785
"87",-0.549462221289877
"88",-0.214112861713333
"89",0.0205603591920497
"90",0.18228751258788
"91",0.471269128642317
"92",0.676122307599095
"93",0.563782572213598
"94",0.371589229885255
"95",0.354504175107321
"96",0.244344844306324
