"","Site_code","Sampling_event","Sample_code.x","Temperature","DO","Salinity","pH","Turbidity","Site_Name","Latitude","Longitude","UTM_Easting","UTM_Northing","Site_type","Algal_subset","Notes","Sample_code.y","N.N_um.L","NO2","NO3.N_um.L","NH4","SRP","Sample_code","TN","TP","TOC"
"86","RB","11-23","RB_1123E_WQ",20.5,6,29.2,NA,NA,"Rankin Basin",25.125171,-80.807714,519383.82,2778821.64,"Florida Bay","Y","Rankin Basin","RB_1123E_F1","0.451",0.066,NA,0.033,0.025,"RB_1123E_UF",1.41,0.04473,15.66
"87","RB","11-24","RB_11-24_WQ",25.3,7.3,21.4,NA,NA,"Rankin Basin",25.125171,-80.807714,519383.82,2778821.64,"Florida Bay","Y","Rankin Basin","RB_11-24_F1","1.339",0.37,0.969,13.854,0.023,"RB_11-24_UF1",52.4,0.599,437.5
"88","RB","4-24","RB_4-24_WQ",25.4,6.66,32.7,8.47,3.6,"Rankin Basin",25.125171,-80.807714,519383.82,2778821.64,"Florida Bay","Y","Rankin Basin","RB_4-24_F1","0.537",0.156,NA,1.227,0.027,"RB_4-24_UF1",48.8,0.451,695.3
"89","RB","8-24","RB_8-24_WQ",30.259,6.02,38.04,8.08,5.28,"Rankin Basin",25.125171,-80.807714,519383.82,2778821.64,"Florida Bay","Y","Rankin Basin","RB_8-24_F1","0.892",0.148,NA,1.207,0.018,"RB_8-24_UF1",105.5,1.045,1054
"90","RB","9-23","RB_9-23_WQ",29.485,6.97,35.77,8.21,1.9,"Rankin Basin",25.125171,-80.807714,519383.82,2778821.64,"Florida Bay","Y","Rankin Basin","RB_9-23_F1","7.689",0.344,7.345,6.624,0.024,"RB_9-23_UF1",45,0.435,864
"91","SBT1","11-23","SBT1_1123E_WQ",23.5,1.04,10.5,NA,NA,"Snake Bight Trail 1",25.184066,-80.873553,512740.66,2785335.4,"Mangrove","N","Mangroves along Snake Bight Trail","SBT1_1123E_F1","0.6",1.293,NA,1.694,3.373,"SBT1_1123E_UF",2.02,0.20122,53.72
"92","SBT1","11-23","SBT1_1123E_WQ",23.5,1.04,10.5,NA,NA,"Snake Bight Trail 1",25.184066,-80.873553,512740.66,2785335.4,"Mangrove","N","Mangroves along Snake Bight Trail","SBT1_1123E_F1","0.0084",0.0181,NA,0.02372,0.10456,"SBT1_1123E_UF",2.02,0.20122,53.72
"93","SBT2","1-24","SBT2_1-24_WQ",21.7,4.3,31.2,8.28,32,"Snake Bight Trail 2",25.17363,-80.873795,512717.37,2784179.71,"POI","N","Creek at end of Snake Bight Trail","SBT2_1-24_F1","0.306",0.043,NA,1.165,0.032,"SBT2_1-24_UF1",39.5,0.69,483.5
"94","SBT2","11-23","SBT2_1123E_WQ",20.9,9.3,34.5,NA,NA,"Snake Bight Trail 2",25.17363,-80.873795,512717.37,2784179.71,"POI","N","Creek at end of Snake Bight Trail","SBT2_1123E_F1","0.156",0.039,NA,0.472,0.028,"SBT2_1123E_UF",0.34,0.0173,3.753
"95","SBT2","11-23","SBT2_1123E_WQ",20.9,9.3,34.5,NA,NA,"Snake Bight Trail 2",25.17363,-80.873795,512717.37,2784179.71,"POI","N","Creek at end of Snake Bight Trail","SBT2_1123E_F1","0.00218",0.00055,NA,0.00661,0.00087,"SBT2_1123E_UF",0.34,0.0173,3.753
"96","SBT2","4-24","SBT2_4-24_WQ",25.2,5.61,34.17,8.51,56.5,"Snake Bight Trail 2",25.17363,-80.873795,512717.37,2784179.71,"POI","N","Creek at end of Snake Bight Trail","SBT2_4-24_F1","0.494",0.058,NA,1.594,0.039,"SBT2_4-24_UF1",57.9,2.022,1341
"97","SBT2","9-23","SBT2_9-23_WQ",28.197,4.6,36.89,8.04,7.5,"Snake Bight Trail 2",25.17363,-80.873795,512717.37,2784179.71,"POI","N","Creek at end of Snake Bight Trail","SBT2_9-23_F1","0.00281",7e-04,NA,0.02225,0.00037,"SBT2_9-23_UF1",0.36,0.01652,5.824
"98","TB1","1-24","TB1_1-24_WQ",23.2,8,8.6,8.06,9.2,"Terrapin Bay",25.158573,-80.726274,527586.12,2782534.55,"Florida Bay","Y","Terrapin Bay by the hydro station","TB1_1-24_F1","0.219",0.075,NA,0.338,0.006,"TB1_1-24_UF1",61.4,0.798,834.2
"99","TB1","11-23","TB1_1123E_WQ",22.8,8.1,8.6,NA,NA,"Terrapin Bay",25.158573,-80.726274,527586.12,2782534.55,"Florida Bay","Y","Terrapin Bay by the hydro station","TB1_1123E_F1","0.388",0.151,NA,0.931,0.008,"TB1_1123E_UF",1.33,0.03457,19.89
"100","TB1","11-23","TB1_1123E_WQ",22.8,8.1,8.6,NA,NA,"Terrapin Bay",25.158573,-80.726274,527586.12,2782534.55,"Florida Bay","Y","Terrapin Bay by the hydro station","TB1_1123E_F1","0.00543",0.00211,NA,0.01303,0.00025,"TB1_1123E_UF",1.33,0.03457,19.89
"101","TB1","4-24","TB1_4-24_WQ",25,7.75,16.1,8.3,9.67,"Terrapin Bay",25.158573,-80.726274,527586.12,2782534.55,"Florida Bay","Y","Terrapin Bay by the hydro station","TB1_4-24_F1","1.341",0.063,NA,0.552,0.029,"TB1_4-24_UF1",105.7,1.732,1272
"102","TB1","8-24","TB1_8-24_WQ",30.049,6.67,27.74,7.88,6.22,"Terrapin Bay",25.158573,-80.726274,527586.12,2782534.55,"Florida Bay","Y","Terrapin Bay by the hydro station","TB1_8-24_F1","ND",0.042,NA,0.472,0.014,"TB1_8-24_UF1",51.7,0.737,484.4
"103","TB1","9-23","TB1_9-23_WQ",30.734,4.34,21.43,7.81,8.73,"Terrapin Bay",25.158573,-80.726274,527586.12,2782534.55,"Florida Bay","Y","Terrapin Bay by the hydro station","TB1_9-23_F1","8.497",0.296,8.201,5.024,0.014,"TB1_9-23_UF1",88.6,1.057,2060
"104","TB2","1-24","TB2_1-24_WQ",22.6,7.7,18.8,8.26,3.71,"Southern Terrapin Bay",25.126647,-80.714868,528743.15,2779001.64,"Florida Bay","N","Florida Bay site just south of Terrapin","TB2_1-24_F1","1.091",0.183,0.908,9.372,0.028,"TB2_1-24_UF1",43.8,0.401,516.1
"105","TB2","11-23","TB2_1123E_WQ",22.5,7.6,22.1,NA,NA,"Southern Terrapin Bay",25.126647,-80.714868,528743.15,2779001.64,"Florida Bay","N","Florida Bay site just south of Terrapin","TB2_1123E_F1","0.503",0.173,NA,0.054,NA,"TB2_1123E_UF",0.44,0.01054,4.297
"106","TB2","11-23","TB2_1123E_WQ",22.5,7.6,22.1,NA,NA,"Southern Terrapin Bay",25.126647,-80.714868,528743.15,2779001.64,"Florida Bay","N","Florida Bay site just south of Terrapin","TB2_1123E_F1","0.00704",0.00242,NA,0.00076,NA,"TB2_1123E_UF",0.44,0.01054,4.297
"107","TB2","11-24","TB2_11-24_WQ",26.4,6.5,31.2,NA,NA,"Southern Terrapin Bay",25.126647,-80.714868,528743.15,2779001.64,"Florida Bay","N","Florida Bay site just south of Terrapin","TB2_11-24_F1","0.962",0.07,NA,0.147,0.096,"TB2_11-24_UF1",49.8,1.501,539.5
"108","TB2","4-24","TB2_4-24_WQ",24.8,7.99,27.02,8.32,2.06,"Southern Terrapin Bay",25.126647,-80.714868,528743.15,2779001.64,"Florida Bay","N","Florida Bay site just south of Terrapin","TB2_4-24_F1","1.752",0.152,NA,4.033,0.018,"TB2_4-24_UF1",30.5,0.681,372.8
"109","TB2","8-24","TB2_8-24_WQ",30.243,6.05,30.68,7.76,14.26,"Southern Terrapin Bay",25.126647,-80.714868,528743.15,2779001.64,"Florida Bay","N","Florida Bay site just south of Terrapin","TB2_8-24_F1","0.445",0.1,NA,7.987,0.01,"TB2_8-24_UF1",76.4,0.654,714.6
"110","TB2","9-23","TB2_9-23_WQ",29.625,5.94,34.17,8.19,5.36,"Southern Terrapin Bay",25.126647,-80.714868,528743.15,2779001.64,"Florida Bay","N","Florida Bay site just south of Terrapin","TB2_9-23_F1","3.379",0.123,NA,5.078,0.021,"TB2_9-23_UF1",49.4,0.275,1081
"111","TBC","1-24","TBC_1-24_WQ",23.4,4.5,7.7,7.58,18.85,"East Terrapin Creek",25.156611,-80.71696,528524.5,2782319.2,"POI","N","Dead creek on eastern side of Terrapin Bay","TBC_1-24_F1","1.039",0.431,0.608,3.297,0.012,"TBC_1-24_UF1",49.8,0.979,699.9
"112","TBC","4-24","TBC_4-24_WQ",23.9,2.28,21.64,7.26,16.15,"East Terrapin Creek",25.156611,-80.71696,528524.5,2782319.2,"POI","N","Dead creek on eastern side of Terrapin Bay","TBC_4-24_F1","0.890",0.241,NA,6.256,0.029,"TBC_4-24_UF1",68.1,1.578,679.7
"113","TBC","4-24","TBC_4-24_WQ",23.9,2.28,21.64,7.26,16.15,"East Terrapin Creek",25.156611,-80.71696,528524.5,2782319.2,"POI","N","Dead creek on eastern side of Terrapin Bay","TBC_4-24_F1","0.89",0.241,NA,6.256,0.029,"TBC_4-24_UF1",68.1,1.578,679.7
"114","TBC","8-24","TBC_8-24_WQ",30.016,2.6,27.72,7.33,6.2,"East Terrapin Creek",25.156611,-80.71696,528524.5,2782319.2,"POI","N","Dead creek on eastern side of Terrapin Bay","TBC_8-24_F1","4.505",0.25,4.255,2.199,0.017,"TBC_8-24_UF1",81.2,0.963,866.7
"115","TBC","9-23","TBC_9-23_WQ",29.954,5.19,30.67,7.9,21.54,"East Terrapin Creek",25.156611,-80.71696,528524.5,2782319.2,"POI","N","Dead creek on eastern side of Terrapin Bay","TBC_9-23_F1","4.299",0.17,4.129,9.994,0.02,"TBC_9-23_UF1",61.3,0.799,1242
"116","TBCM","8-24","TBCM_8-24_WQ",33.315,7.69,27.91,8,29.3,"East Terrapin Creek Mangrove",25.156911,-80.715074,528715.23,2782352.82,"Mangrove","N","Dead mangroves off of east Terrapin Creek","TBCM_8-24_F1","ND",0.08,NA,0.718,0.017,"TBCM_8-24_UF1",65.5,1.243,539.9
"117","TBHM","1-24","TBHM_1-24_WQ",21.9,3.1,5.6,8.33,31.78,"Terrapin Healthy Mangrove",25.166282,-80.731939,527013.52,2783386.99,"Mangrove","N","Healthy mangroves near McCormick Creek","TBHM_1-24_F1","0.655",0.197,NA,1.759,0.012,"TBHM_1-24_UF1",56.4,0.986,999.2
"118","TBHM","4-24","TBHM_4-24_WQ",25.7,7.1,10.67,8.33,31.78,"Terrapin Healthy Mangrove",25.166282,-80.731939,527013.52,2783386.99,"Mangrove","N","Healthy mangroves near McCormick Creek","TBHM_4-24_F1","0.741",0.111,NA,1.108,0.19,"TBHM_4-24_UF1",138.6,5.919,1228
"119","TBHM","4-24","TBHM_4-24_WQ",25.7,7.1,10.67,8.33,31.78,"Terrapin Healthy Mangrove",25.166282,-80.731939,527013.52,2783386.99,"Mangrove","N","Healthy mangroves near McCormick Creek","TBHM_4-24_F1","0.741",0.111,NA,1.108,0.19,"TBHM_4-24_UF1",138.6,5.919,1228
"120","TBHM","8-24","TBHM_8-24_WQ",29.928,4.12,23.47,7.76,12.14,"Terrapin Healthy Mangrove",25.166282,-80.731939,527013.52,2783386.99,"Mangrove","N","Healthy mangroves near McCormick Creek","TBHM_8-24_F1","0.011",0.054,NA,0.507,0.003,"TBHM_8-24_UF1",80.7,1.433,702.2
"121","TKB","11-23","TKB_1123E_WQ",22.6,7.4,30,NA,NA,"Twin Keys Basin",24.982971,-80.765824,523633.91,2763082.59,"Florida Bay","N","Twin Keys Basin","TKB_1123E_F1","0.298",0.101,NA,4.782,0.027,"TKB_1123E_UF",0.68,0.00849,6.971
"122","TKB","11-23","TKB_1123E_WQ",22.6,7.4,30,NA,NA,"Twin Keys Basin",24.982971,-80.765824,523633.91,2763082.59,"Florida Bay","N","Twin Keys Basin","TKB_1123E_F1","0.00417",0.00141,NA,0.06695,0.00084,"TKB_1123E_UF",0.68,0.00849,6.971
"123","TKB","11-24","TKB_11-24_WQ",25.8,5.5,26.2,NA,NA,"Twin Keys Basin",24.982971,-80.765824,523633.91,2763082.59,"Florida Bay","N","Twin Keys Basin","TKB_11-24_F1","0.534",0.06,NA,0.48,0.007,"TKB_11-24_UF1",54,1.57,547.6
"124","TKB","4-24","TKB_4-24_WQ",25.5,7.26,31.97,8.34,1.59,"Twin Keys Basin",24.982971,-80.765824,523633.91,2763082.59,"Florida Bay","N","Twin Keys Basin","TKB_4-24_F1","0.640",0.059,NA,0.865,NA,"TKB_4-24_UF1",33.3,0.328,411
"125","TKB","4-24","TKB_4-24_WQ",25.5,7.26,31.97,8.34,1.59,"Twin Keys Basin",24.982971,-80.765824,523633.91,2763082.59,"Florida Bay","N","Twin Keys Basin","TKB_4-24_F1","0.64",0.059,NA,0.865,NA,"TKB_4-24_UF1",33.3,0.328,411
"126","TKB","8-24","TKB_8-24_WQ",30.808,6.63,38.05,7.91,0.95,"Twin Keys Basin",24.982971,-80.765824,523633.91,2763082.59,"Florida Bay","N","Twin Keys Basin","TKB_8-24_F1","1.240",0.216,1.024,1.591,0.031,"TKB_8-24_UF1",42.6,0.288,1679
"127","TKB","9-23","TKB_9-23_WQ",28.866,6.53,38.15,8.3,0.24,"Twin Keys Basin",24.982971,-80.765824,523633.91,2763082.59,"Florida Bay","N","Twin Keys Basin","TKB_9-23_F1","0.00491",0.00063,NA,0.01865,0.00056,"TKB_9-23_UF1",0.78,0.00741,9.527
"128","TSM3","11-23","TSM3_1123E_WQ",25.2,6.3,0.2,NA,NA,"Marsh 3",25.283386,-80.797905,520346.36,2796342.59,"Marsh","N","Marsh across from Paurotis Pond entrance","TSM3_1123E_F1","0.375",0.063,NA,6.171,0.001,"TSM3_1123E_UF",0.67,0.00825,6.763
"129","TSM3","11-23","TSM3_1123E_WQ",25.2,6.3,0.2,NA,NA,"Marsh 3",25.283386,-80.797905,520346.36,2796342.59,"Marsh","N","Marsh across from Paurotis Pond entrance","TSM3_1123E_F1","0.00525",0.00088,NA,0.08639,3e-05,"TSM3_1123E_UF",0.67,0.00825,6.763
"130","TSM4","11-23","TSM4_1123E_WQ",24.4,4.7,0.2,NA,NA,"Marsh 4",25.250483,-80.797746,520367.89,2792699.17,"Marsh","N","Marsh just south of Nine Mile Pond","TSM4_1123E_F1","0.00251",0.00112,NA,0.00871,NA,"TSM4_1123E_UF",0.75,0.00933,8.758
"131","TSM4","11-23","TSM4_1123E_WQ",24.4,4.7,0.2,NA,NA,"Marsh 4",25.250483,-80.797746,520367.89,2792699.17,"Marsh","N","Marsh just south of Nine Mile Pond","TSM4_1123E_F1","0.179",0.08,NA,0.622,NA,"TSM4_1123E_UF",0.75,0.00933,8.758
"132","WB1","1-24","WB1_1-24_WQ",22.4,8,23.5,8.23,1.29,"Whipray Basin",25.081421,-80.762105,523990.16,2773984.49,"Florida Bay","Y","Whipray Basin","WB1_1-24_F1","0.214",0.025,NA,0.639,0.039,"WB1_1-24_UF1",58.6,0.818,621.6
"133","WB1","11-23","WB1_1123E_WQ",22.2,7.2,26.2,NA,NA,"Whipray Basin",25.081421,-80.762105,523990.16,2773984.49,"Florida Bay","Y","Whipray Basin","WB1_1123E_F1","0.671",0.13,NA,0.044,0.016,"WB1_1123E_UF",0.95,0.01355,9.759
"134","WB1","11-23","WB1_1123E_WQ",22.2,7.2,26.2,NA,NA,"Whipray Basin",25.081421,-80.762105,523990.16,2773984.49,"Florida Bay","Y","Whipray Basin","WB1_1123E_F1","0.00939",0.00182,NA,0.00062,5e-04,"WB1_1123E_UF",0.95,0.01355,9.759
"135","WB1","4-24","WB1_4-24_WQ",25.2,7.32,30.8,8.42,1.01,"Whipray Basin",25.081421,-80.762105,523990.16,2773984.49,"Florida Bay","Y","Whipray Basin","WB1_4-24_F1","0.061",0.014,NA,0.354,NA,"WB1_4-24_UF1",57.9,0.458,799.7
"136","WB1","8-24","WB1_8-24_WQ",31.601,8.44,36.46,8.08,1.53,"Whipray Basin",25.081421,-80.762105,523990.16,2773984.49,"Florida Bay","Y","Whipray Basin","WB1_8-24_F1","0.207",0.143,NA,0.929,0.011,"WB1_8-24_UF1",79,0.538,883.3
"137","WB1","9-23","WB1_9-23_WQ",28.192,5.48,35.62,8.04,1.56,"Whipray Basin",25.081421,-80.762105,523990.16,2773984.49,"Florida Bay","Y","Whipray Basin","WB1_9-23_F1","0.00269",0.00073,NA,0.00854,0.00047,"WB1_9-23_UF1",0.95,0.01559,9.82
"138","WB2","1-24","WB2_1-24_WQ",22.8,7.6,23.4,8.32,1.32,"Southern Whipray Basin",25.049659,-80.766102,523593.1,2770466.86,"Florida Bay ","N","Southern Whipray Basin","WB2_1-24_F1","0.742",0.113,NA,6.106,0.03,"WB2_1-24_UF1",62.6,0.426,784.9
"139","WB2","4-24","WB2_4-24_WQ",25.4,7.11,30.45,8.39,1.65,"Southern Whipray Basin",25.049659,-80.766102,523593.1,2770466.86,"Florida Bay ","N","Southern Whipray Basin","WB2_4-24_F1","0.214",0.049,NA,1.02,0.008,"WB2_4-24_UF1",45.7,0.369,520.6
"140","WB2","8-24","WB2_8-24_WQ",31.444,8,36.73,8.08,0.7,"Southern Whipray Basin",25.049659,-80.766102,523593.1,2770466.86,"Florida Bay ","N","Southern Whipray Basin","WB2_8-24_F1","0.57",0.127,NA,2.22,0.018,"WB2_8-24_UF1",51.2,0.969,663.8
"141","WB2","8-24","WB2_8-24_WQ",31.444,8,36.73,8.08,0.7,"Southern Whipray Basin",25.049659,-80.766102,523593.1,2770466.86,"Florida Bay ","N","Southern Whipray Basin","WB2_8-24_F1","0.570",0.127,NA,2.22,0.018,"WB2_8-24_UF1",51.2,0.969,663.8
