"","gturb","rturb"
"1",-6.17758135347369,-7.13058095610613
"2",-5.78341009849819,0.0447412444717694
"3",-3.51356497453965,-3.49939624078159
"4",-0.992937066582446,-2.83530159903229
"5",1.49751036202194,1.01380343971806
"6",2.58511464335789,0.346961814817377
"7",0.594361766476408,2.77085232902956
"8",-3.06884784064207,-0.572927279076903
"9",-5.39017180456104,3.24129456356501
"10",-5.1629537458912,2.73475752242018
"11",-3.77249203471108,-0.310315730664621
"12",-3.52174819095316,-0.00250995929326314
"13",-4.94914360887013,-0.28979698999985
"14",-6.23973082891329,-4.27877992652306
"15",-6.0242668212392,-4.55107036551211
"16",-5.24601146164643,-4.62485518011243
"17",-5.39201092105898,-2.13968693397777
"18",-6.09552982859021,-2.22681828015365
"19",-4.74636887524861,6.50124395216471
"20",1.10267189370284,4.03509118532147
"21",9.61740806978888,12.0681564640534
"22",14.2744976197151,16.2425707019437
"23",10.8531195466203,9.11416623202817
"24",2.88159117670399,12.1933870291672
"25",-2.91059265800196,13.7786499781413
"26",-3.41786307165564,0.0150429570807465
"27",-0.452292870596149,3.66785217231919
"28",1.97039590931032,-0.936339675824353
"29",1.52707911466078,-1.55049181412587
"30",-0.113938098002438,-2.21639413529904
"31",0.490446642102561,-2.1562928656393
"32",3.93307435612769,3.5269303731959
"33",7.13669643607212,5.77270034169089
"34",7.38142991490914,-0.123680984049277
"35",5.66004413557966,9.2336879270035
"36",4.94010366100102,3.36968331849987
"37",5.75039414862948,0.479131006868474
"38",5.66359748123077,0.311632150522365
"39",3.06270017177817,-1.52268346704079
"40",-0.64087225261531,-4.29810571202979
"41",-2.61924106705545,-0.828073065013286
"42",-1.20024340089937,-4.50493816632835
"43",2.23129243360037,-1.34361634646258
"44",3.67249793358482,1.26679567797848
"45",0.985083701084287,-0.147880566318137
"46",-2.94818064405909,-3.4986479132408
"47",-3.95144884140014,3.31142661425408
"48",-1.678629458873,-3.12072804811345
"49",0.87049091637274,-4.18544991735124
"50",1.106345260681,-2.90877418516597
"51",-1.25378219542266,-2.9816069131058
"52",-4.37394951056052,-3.40716285052424
"53",-6.04900867772636,-3.10718017622688
"54",-5.72261099933255,-2.95121457895402
"55",-4.60798218592359,3.71233214286409
"56",-4.08770852511094,-4.37957725349402
"57",-4.35109468738468,0.2736122494501
"58",-4.70180970637119,2.2837931230871
"59",-4.89351319579347,-3.18862067840724
"60",-5.12746436456518,-1.70364871439175
"61",-4.9019589325843,-0.467200227810695
"62",-3.78341182299496,-5.15412976482087
"63",-2.92263184056833,-0.00288503204166907
"64",-3.3645144795678,-4.45547751952091
"65",-3.98982884356168,-3.68719558713172
"66",-3.28753453395257,-1.75677748136029
"67",-1.27290704003874,-2.35754785133459
"68",1.34558995170666,-4.16695706859392
"69",3.49946293732015,-0.832407413876763
"70",3.81331307124491,-0.392163057155599
"71",2.73412786392719,0.776183326603208
"72",3.01642414991643,-0.58609050591336
"73",5.85980163845863,3.44633505368408
"74",8.6037561892725,3.19736503588213
"75",8.08889225189877,1.86573962669447
"76",4.76049644191998,0.441377449127834
"77",1.87816696217603,3.52481891087411
"78",1.75956254269586,0.259297399891263
"79",3.93300150088597,-1.80058566855976
"80",6.18987275828475,1.53791222898504
"81",6.39541854617766,-0.388928978935938
"82",3.92345620288683,-2.67283272852243
"83",0.511908933187254,0.97700188369715
"84",-1.38419109032092,-3.68456811963811
"85",-2.361358863095,-1.55989676762657
"86",-3.99357924597383,-2.09018640187992
"87",-4.82968680738854,-5.08289000006379
"88",-2.44104290940274,-3.58117350571852
"89",1.75625962501085,-3.45190618796361
"90",4.21189559003232,-4.44401659036578
"91",3.50909907717081,-1.73541165094433
"92",0.57439908027789,-1.70115384122554
"93",-1.83723348536815,2.23551176509939
"94",-0.475416959085629,1.8146276538572
"95",4.17458202691138,1.15150248048077
"96",7.53863335821757,2.77507319954869
