"","dcbr","dcbre"
"1",0.0916051110428188,0.0687954066078261
"2",-0.0683856791879333,-0.162210045962795
"3",-0.133948359413787,-0.249209995957945
"4",-0.0952333483449701,-0.202413293422522
"5",-0.0237311192306822,-0.118495003108765
"6",-0.00759180432814077,-0.085545913227764
"7",-0.0588036555413342,-0.134868649042361
"8",-0.134615372631053,-0.224469601166393
"9",-0.164796163038623,-0.285984720624184
"10",-0.137451775341682,-0.325618314456475
"11",-0.108977141508316,-0.386105696269817
"12",-0.140235431016017,-0.46045295644937
"13",-0.238431449933418,-0.536603372789182
"14",-0.32769244406293,-0.561020230719743
"15",-0.32935619132886,-0.545614213110937
"16",-0.246955619577913,-0.50498390331083
"17",-0.136055544381739,-0.45378760359684
"18",-0.0629195849851822,-0.410913437685141
"19",-0.0576472854926663,-0.364917813257767
"20",-0.0798151375023447,-0.27265621319667
"21",-0.106543793130391,-0.186461500929087
"22",-0.133472760087333,-0.158674300879212
"23",-0.149514314144128,-0.179791470547107
"24",-0.155995116073996,-0.240135390559182
"25",-0.134251542114193,-0.269996584564804
"26",-0.0785220339832589,-0.263411460946596
"27",-0.0428855783251932,-0.261902445305188
"28",-0.0745344336871502,-0.248689733258288
"29",-0.173531999335135,-0.213210318329393
"30",-0.282700062230419,-0.241644291248566
"31",-0.299995358747123,-0.293724554543618
"32",-0.183362903158516,-0.250135627583151
"33",-0.0127526512326674,-0.106853726616308
"34",0.117918455176493,0.181052555221415
"35",0.159042611370508,0.495544455375489
"36",0.14425636478018,0.651576021920613
"37",0.177746690066028,0.763874453288971
"38",0.27504562256532,0.915407327674127
"39",0.336246766125115,0.977156690117544
"40",0.285914226091802,0.933180425892684
"41",0.106178355469031,0.627678235899483
"42",-0.0828426689659473,0.192844783484927
"43",-0.102953175408475,0.0574883906069158
"44",0.0679769322508787,0.328970076144892
"45",0.303804303216555,0.838050343076146
"46",0.441000143097384,1.24774555759214
"47",0.377647313808206,1.1751996610636
"48",0.18865998588743,0.607778325127765
"49",0.0343894583115316,0.0462227669430445
"50",-0.00501326601595106,-0.139740896138486
"51",0.059549890569405,0.0937532567509456
"52",0.137001984843485,0.456856288990901
"53",0.151879344702369,0.551513778319821
"54",0.149417979589046,0.398125785834797
"55",0.206586952606838,0.327476410272913
"56",0.325582787751437,0.46154381614668
"57",0.44646663809394,0.6954876750003
"58",0.463771850037394,0.846451978012862
"59",0.334554403315679,0.712833223887666
"60",0.146615205197997,0.369809307098074
"61",-0.00247279070486287,0.0633293678454523
"62",-0.0603971482497304,-0.0699000243468469
"63",-0.0359807344047567,-0.0883506587694149
"64",0.011191521244267,-0.0158782480355003
"65",0.0502279155117664,0.0548407001003036
"66",0.0934252038130719,0.089197260935446
"67",0.136951564729158,0.204211249702914
"68",0.146694340522381,0.208556211340541
"69",0.0998729111339772,0.0704412742517673
"70",-0.00382996013855178,-0.120866750624754
"71",-0.0982723030113765,-0.304427906617261
"72",-0.112760082514315,-0.359615575830808
"73",-0.0565224895687019,-0.253441876911659
"74",0.00595691483411719,-0.198562626743857
"75",0.00917538342627337,-0.242786111840879
"76",-0.0579340201664491,-0.283537043266853
"77",-0.112235698321817,-0.284584431127491
"78",-0.0880331931821635,-0.217525640285966
"79",-0.00523176166082739,-0.104229731879
"80",0.057161584236033,-0.0437538153673925
"81",0.0230237470404118,-0.0864230830747073
"82",-0.098702118077084,-0.171031366774858
"83",-0.204989688921026,-0.262875446698114
"84",-0.219654050863753,-0.305357956159079
"85",-0.156170470137507,-0.282401000026526
"86",-0.0932280690349392,-0.291775279079338
"87",-0.0956510263520103,-0.354953744017824
"88",-0.150018817375222,-0.361828140344336
"89",-0.17765215041221,-0.308092702032068
"90",-0.145002701449737,-0.286626401627147
"91",-0.0604401957056507,-0.22942513008818
"92",0.0178573035321261,-0.196727743654725
"93",0.00719291520495256,-0.198757161458827
"94",-0.0656756850338831,-0.225055752119072
"95",-0.162026370019874,-0.29247010130594
"96",-0.203802215857718,-0.277767386504231
