"","aflow_cum","mflow_cum"
"1",-49.5466355570121,-659.201231325435
"2",-370.300867603948,-1065.23794220132
"3",-608.341137483585,-1260.23680773923
"4",-567.616543843992,-1032.13086133112
"5",-223.364899733475,-318.738903936044
"6",243.616786715502,646.972878057335
"7",613.171018308207,1144.31079869931
"8",758.548993924238,828.008815997269
"9",722.936243335119,511.024150989396
"10",504.15211098754,291.177671415878
"11",35.3719565938982,-439.723184597121
"12",-586.358687852304,-1324.97507075623
"13",-1093.33769186086,-1566.91442258585
"14",-1221.52954864571,-1195.69348702265
"15",-938.298275159474,-789.838874612602
"16",-481.966767959127,-787.460272288322
"17",-124.010791786488,-699.774373246198
"18",94.2317623385869,642.866708746036
"19",325.42028810678,2659.47568748794
"20",668.970532087567,3110.52883533611
"21",960.026029033058,1752.74518309122
"22",916.365852649054,430.940674972053
"23",410.349394716148,-258.023049685695
"24",-327.529593709053,-905.682290612002
"25",-807.463772346507,-1442.75432171293
"26",-673.410192138743,-1398.14978557908
"27",-38.3030441700295,-602.122136967549
"28",609.749607018204,531.969406734607
"29",833.352266088512,963.368397465738
"30",574.02561674479,481.361653156425
"31",145.726983373502,172.711119377397
"32",-80.0427789098273,502.321551000638
"33",9.03611161421258,856.349469398291
"34",195.25749324481,674.547140438227
"35",168.953823853693,-184.672156095682
"36",-168.810449187591,-1109.59582605499
"37",-604.555800230376,-1090.37243184941
"38",-825.566556731985,-483.403682573364
"39",-703.290450209417,-572.865057074913
"40",-378.248562195725,-1047.57062065478
"41",-91.1141990509905,-688.078257560785
"42",37.8707321285572,276.833416731743
"43",76.3294219858856,823.011119808196
"44",160.733085444367,676.987866574883
"45",311.344155313293,208.557074725463
"46",403.477500223917,-10.1581232093293
"47",290.502000307449,90.9715549289455
"48",-42.2010791883807,-229.166194739478
"49",-443.605757005828,-1043.30891310197
"50",-680.394529707305,-1349.1068993285
"51",-687.773979914712,-843.9212605711
"52",-544.099084866106,-328.806393235222
"53",-313.583633250715,-290.633513842956
"54",60.6303485046158,-290.454654795506
"55",635.751198623561,651.515693940285
"56",1274.68099656493,2612.54664205367
"57",1630.86874955681,3705.15163620444
"58",1412.05708676048,2479.35067411149
"59",664.516330535797,394.785703339162
"60",-225.698838702017,-668.695156996502
"61",-802.406141823896,-958.30751739158
"62",-879.855589279672,-1257.92667725026
"63",-650.11941524574,-1473.09005518981
"64",-455.324878727575,-1330.82987420285
"65",-442.057449569016,-786.328292073628
"66",-445.125206404524,-113.62699008161
"67",-213.358610396746,265.379061054379
"68",266.12414018744,524.470138394142
"69",690.604116580018,990.849708819257
"70",676.14867189876,1190.20029377902
"71",147.749166524785,583.71833510377
"72",-563.179832436183,-686.49837633312
"73",-968.773176552529,-1850.33182127031
"74",-806.76983842741,-1762.98646225513
"75",-251.730903585804,-291.257072252227
"76",241.621651190541,727.767316883128
"77",332.498126200665,33.7783573904326
"78",133.466301431824,-696.91283461916
"79",39.3107395655275,124.69701118908
"80",261.139603041976,1348.01751641868
"81",602.892750841842,1374.44551902047
"82",694.50040931793,423.54594819599
"83",326.516721746181,-502.454804630659
"84",-326.836058818729,-876.723641996016
"85",-843.359965157594,-1046.02627589123
"86",-885.314874752027,-1332.54953701347
"87",-496.947065702581,-1141.77263513892
"88",-42.4771487361607,-199.256510426735
"89",147.308828708098,471.149735249598
"90",129.797379689766,346.750787086008
"91",253.923909513315,108.033139573283
"92",666.169422997983,563.341125311692
"93",1177.46796174237,2115.0288296506
"94",1342.38092752728,3501.39630591382
"95",943.460752298365,2770.67725539836
"96",210.221227101339,245.108887052932
