"","X.6","X.4","X.2","X","mctn","actn","actp","mctp","mcnh4","acnh4","mcdoc","acdoc","mcsal","acsal","aflow","amaxstage","mflow","mmaxstage","gTOC","gTP","gsal","gpH","gchl","gTN","rTOC","rTP","rsal","rpH","rchl","rTN","marshmeanrain","gsrainfall","gsmeanstage","X.1","aflow_cum","mflow_cum","X.3","cNH4","cTOC","cDO","cTP","csal","cturb","ctemp","cTN","cpH","cchl","X.5","gNH4","X","eNH4","eTOC","eDO","eTP","esal","eturb","etemp","eTN","epH","echl"
"1",1,1,1,1,18.6987270458774,28.5950248318255,0.698858263543054,0.283304121275727,-2.30689073000522,-5.20799812085298,75.9687858774459,71.1947512947305,-4.40931475671197,0.865584888736255,-1.80963194896487,-0.32185386491572,-18.0854871678316,-0.308677141635287,3.39070517730111,0.00244753613151391,1.80064997163626,-0.481456211617902,-5.24344761933787,1.06228484997046,0.356806155291814,-0.00549008515234236,-2.58517599555655,-0.101927619153948,-1.69849925687122,0.0416704514486049,-0.0933464550853093,-0.0775696592786123,-0.271863784579653,1,-49.5466355570121,-659.201231325435,1,-0.0907758698257176,-0.584025022192748,-0.159093003554047,-0.00273692842181896,-2.03919186131176,-2.68065739690203,-1.120688258133,-0.157212122612077,-0.0353766553491453,-3.03592536558504,1,0.799701388164001,1,-0.0191174630025552,0.454381321668751,-3.14948999882512,-0.00763372272092659,-1.65760057609638,-2.56586565758116,-1.22972164719528,-0.0740272743424267,-0.064826305014144,-1.43708825079579
"2",2,2,2,2,25.4858708864581,17.4904761838885,0.132562704479526,0.555907667346101,-2.39967125880757,1.99816311815923,128.451283984263,-39.6522511200274,-1.680502318187,9.05064093515163,-19.1533892761744,-0.273783628017095,-28.5712004353563,-0.21883308095418,3.59299448544336,0.00370989965702042,3.90610825288228,-0.389814754650889,-4.62407222825311,1.03929898967753,0.562273075101886,0.0153920878470193,0.535085452423603,-0.0494096862902661,-0.63101827041252,0.5294079730158,-0.00614559387899923,-0.0486570163352698,-0.162623430562663,2,-370.300867603948,-1065.23794220132,2,-0.076196900913065,-1.37156999134399,-0.45468873656295,-0.0069611946219958,-1.60644663223825,-4.83678863522102,0.130125484405747,-0.294962944907316,-0.0173633221958349,-4.55698120690724,2,0.661827010139595,2,-0.0100417980065724,-0.0386443043254625,-3.70925798887377,-0.00600454662399226,-0.823747744920305,-2.85144065174055,-0.152717851092786,-0.100071492246295,-0.0280741138482402,-2.28254965517568
"3",3,3,3,3,20.4000744200448,4.71149235481501,-0.164045850279757,0.4567250853958,-0.747886073244477,8.95817950519174,-48.1800765877795,-253.148617942201,-0.0866957661800818,14.8727375233853,-24.1329931326284,-0.222905448299259,-36.1290119577458,-0.200632333023271,2.44346209570904,0.00520366127593541,4.86615023672436,-0.0960023937075944,-3.32458871817152,0.690484019138667,1.3165987632624,0.00238254387123671,4.51637242759139,0.200835918534668,-1.70597917160446,0.327923825473704,0.104428057286705,-0.00341247346796483,-0.129224743559708,3,-608.341137483585,-1260.23680773923,3,-0.037166343190902,-1.67208296901185,-0.670607930504318,-0.00872827360911582,-1.20927533516463,-8.57162455461769,1.40788317679334,-0.256291253287244,0.0628254179435486,-4.32470106439642,3,0.248329162707453,3,-0.00815697864998491,-0.719202311447911,-2.39476136176,-0.00528672069899164,0.253214904948082,-3.05715002863648,1.15071511865159,-0.124083612273593,0.0200493610022297,-1.83772873601076
"4",4,4,4,4,6.09601352313952,-14.5424645097755,-0.198684484215507,0.0664523269874849,-2.02969921281381,3.74934609158593,-23.9177477185361,-377.259938597048,1.91021431301961,13.6842181993393,-18.3621045117419,-0.154686790412925,-27.0102513312361,-0.219794227099419,0.933925312237112,0.0079827436409923,3.32864192892369,0.105703457368422,-1.5677660292043,0.354076529132817,-5.56802529906122,0.00820508702955671,4.38232811587971,0.173610441299574,1.20080236777015,-0.397029658402447,0.113517699363386,0.0482640930897157,-0.124740750095812,4,-567.616543843992,-1032.13086133112,4,0.00374228356789264,-1.6644659348065,-1.00348781455318,-0.0075374456251212,-0.768928347531486,-9.63693709864114,2.78037339850787,-0.11432505429252,0.123302537352406,-2.4212363608056,4,-0.0316128135352404,4,-0.0140386065966599,-1.21289153269362,-0.734348234737759,-0.00388272597275152,1.10317586308916,-2.63333984052019,2.69920249398638,-0.121825150217682,0.0287001319962316,-0.476245756747628
"5",5,5,5,5,-5.36798935682312,-28.7784760821449,-0.199598533931493,-0.365660928130662,5.55425134588433,-4.12542345661279,-85.572065258846,-130.792765671626,1.99283024925057,7.38188309193455,-10.245284053109,-0.0537732386022603,-0.152953415612785,-0.163160558780136,0.0719060128007522,0.0110425256191667,1.36309294951866,0.0626732802930755,1.4585503598312,0.291478160158793,5.19519575641608,0.0275460864580807,2.14127925000611,-0.0169569676043035,10.5642628340091,1.06085136756988,0.0732562031468072,0.0842716758323231,-0.0889876746402397,5,-223.364899733475,-318.738903936044,5,0.0259593691989889,-1.68971027200642,-1.23439309264796,-0.00562376256137029,-0.127094664845065,-6.07572668059365,3.86465476202723,-0.0768025296559544,0.124172770133201,-0.842379473389444,5,-0.0732321801054911,5,-0.0183117044159439,-1.08295256651188,-0.0205512641354691,0.000332286459726047,1.22477204722137,-1.14251574624328,3.94283327891183,-0.0858761844190609,0.113826722464447,1.17900097084462
"6",6,6,6,6,-7.74620149522528,-32.6071698444325,-0.491267193824892,-0.628519421338864,1.84218585943364,-9.93326235974974,158.035540916348,259.038774158283,-2.84205769927757,1.39847410638634,1.809051341579,0.0567537151267332,23.7276529078489,-0.0134392251452179,-0.141704527887024,0.0108626403687673,1.75326369052197,-0.084030259002124,4.7272842068376,0.37859091862315,2.57789454711498,0.0270416641199541,2.28460420371591,0.0126746795108265,18.6663777179142,0.845997998226286,0.0973132350411647,0.0966721320699128,0.0201220253281047,6,243.616786715502,646.972878057335,6,0.0225027703084352,-1.64039215742932,-0.964153015048943,-0.00517536454556555,0.527512317903746,-0.947749189323205,3.90834162868871,-0.188618447329446,0.0887232618820221,-0.819883080433943,6,-0.0826822795737053,6,-0.0119089558813065,-0.288809793960356,-0.145881296583237,0.00368407771621934,0.396421442887138,0.720507450421486,4.00968862954859,-0.0370322598480289,0.194961125718132,2.15277984310499
"7",7,7,7,7,-4.49478237021841,-31.5403672457235,-0.946790066607208,-0.613594299334121,1.22161146942745,-8.85900390962346,129.073134569086,424.69204987378,-9.63794208915567,0.676312679618952,19.3230416496386,0.134086429563725,28.3156276946756,0.149491339233518,-0.500101036112391,0.00476583431280582,3.37655075726578,-0.130570239014174,4.85200647983341,0.288157826637244,4.36473707635038,0.0369728662687144,1.86163886459753,0.00363578361500144,19.7913831723925,1.2366340776806,0.101218127336415,0.0804835305381105,0.142301722077491,7,613.171018308207,1144.31079869931,7,7.25537754463733e-06,-1.06578231230239,-0.17431730971618,-0.00530203353838625,0.591992956764186,1.64592097607241,2.3966810872715,-0.26079075373133,0.0492692502740462,-1.01308734074553,7,-0.101611170246245,7,0.00261384736859188,0.611467366010602,-0.256281982718477,0.00280424032873943,-1.12061083748218,1.45525083564581,2.41334433846525,-0.0060405278872187,0.0684796177682096,2.04621673249611
"8",8,8,8,8,-0.152813097390792,-21.2633767161147,-1.02152427314013,-0.40229894051708,-3.47853571239507,-7.57343889425694,177.914240513761,236.162616316729,-11.5953389880387,3.46247685109178,29.2968111313779,0.143797551002643,21.80665125413,0.230340225982265,-1.61326856687083,-0.00457807091115122,2.44738387619426,-0.0599540225053824,0.181287910349111,-0.0915879345267303,3.41045440492379,0.0293163569245129,0.0723913850970769,-0.243457963655049,15.2282477316656,0.890941392473854,0.00863609603138899,0.0466443636761405,0.199980105168447,8,758.548993924238,828.008815997269,8,-0.027272819736377,-0.0593487022337968,0.659105853723864,-0.00411116636002571,-0.290180094642018,1.07480466721719,-0.290074887655634,-0.152267532255204,0.0162508763822169,0.176184420907587,8,-0.0724202166350413,8,0.0115616677076588,0.925677261258184,0.105990511241305,-0.000975044124132721,-2.4793097743867,-0.0592606906824775,-0.330315209769483,-0.0176464533109657,-0.085148377969736,1.30865822616189
"9",9,9,9,9,-3.25463905876995,-7.87519441727031,-0.605312041460943,-0.167226489862358,-1.56887773716579,-6.03932794746471,-139.722398177665,-58.6043723459267,-7.95267188759273,2.7465341947596,24.247793880962,0.0437191406048857,24.0561306072361,0.142585531670412,-3.43264863274422,-0.0109248399579423,-1.55175124391577,-0.0209591092806468,-6.10853838447985,-0.531930087414142,1.46043751457403,0.0138058639098734,-0.823536514728448,-0.286231141117873,8.80782529529912,0.730349630928473,-0.101204319356769,-0.00248212861551116,0.100670711024234,9,722.936243335119,511.024150989396,9,-0.0446371175512395,0.440158617739255,1.0637942886478,-0.00297878219039831,-1.72386733523358,-0.167454037721949,-2.95869572185514,0.00393691612992975,-0.00432195374210447,1.81812212514158,9,-0.011919173247687,9,0.00369966683087202,0.578604179490923,0.635079157994075,-0.00506456915198663,-2.90523295314158,-3.56182053697416,-2.92839959205077,-0.0731937355885457,0.000774147481568122,0.243918235151871
"10",10,10,10,10,-16.5777617573759,0.0959735459375874,-0.16128713270265,-0.109628510293739,-2.49799421977001,-3.29269773753571,-222.382415681666,-236.505896918183,-3.63630861823402,-2.07887910817526,10.9328959611288,-0.180431634655709,23.6577154355671,-0.123529223567691,-5.2725705109247,-0.010813863195457,-4.42348040478226,-0.0898053590413278,-8.31210872457518,-0.738938026876772,4.26232831477839,0.025901537607306,-2.80686611877731,-0.0622235084530339,3.05392295569497,0.889101012266016,-0.113678547583313,-0.054909886597681,-0.165169312796606,10,504.15211098754,291.177671415878,10,-0.0437064475660139,-0.158632983146922,0.988536249229381,-0.00435263459461706,-2.6080561721803,-0.0683217294457608,-4.37823245833804,-0.0101935642542083,0.00108474058755195,1.57190618096929,10,0.0407237807902385,10,-0.0165055093986492,0.104367725211536,0.799252694181923,-0.0070505411987631,-2.27994326687045,-6.92244305431578,-4.19287794504728,-0.13350348862403,0.112128054991323,-0.918936189837671
