"","eNH4","eTOC","eDO","eTP","esal","eturb","etemp","eTN","epH","echl"
"1",-0.0191174630025552,0.454381321668751,-3.14948999882512,-0.00763372272092659,-1.65760057609638,-2.56586565758116,-1.22972164719528,-0.0740272743424267,-0.064826305014144,-1.43708825079579
"2",-0.0100417980065724,-0.0386443043254625,-3.70925798887377,-0.00600454662399226,-0.823747744920305,-2.85144065174055,-0.152717851092786,-0.100071492246295,-0.0280741138482402,-2.28254965517568
"3",-0.00815697864998491,-0.719202311447911,-2.39476136176,-0.00528672069899164,0.253214904948082,-3.05715002863648,1.15071511865159,-0.124083612273593,0.0200493610022297,-1.83772873601076
"4",-0.0140386065966599,-1.21289153269362,-0.734348234737759,-0.00388272597275152,1.10317586308916,-2.63333984052019,2.69920249398638,-0.121825150217682,0.0287001319962316,-0.476245756747628
"5",-0.0183117044159439,-1.08295256651188,-0.0205512641354691,0.000332286459726047,1.22477204722137,-1.14251574624328,3.94283327891183,-0.0858761844190609,0.113826722464447,1.17900097084462
"6",-0.0119089558813065,-0.288809793960356,-0.145881296583237,0.00368407771621934,0.396421442887138,0.720507450421486,4.00968862954859,-0.0370322598480289,0.194961125718132,2.15277984310499
"7",0.00261384736859188,0.611467366010602,-0.256281982718477,0.00280424032873943,-1.12061083748218,1.45525083564581,2.41334433846525,-0.0060405278872187,0.0684796177682096,2.04621673249611
"8",0.0115616677076588,0.925677261258184,0.105990511241305,-0.000975044124132721,-2.4793097743867,-0.0592606906824775,-0.330315209769483,-0.0176464533109657,-0.085148377969736,1.30865822616189
"9",0.00369966683087202,0.578604179490923,0.635079157994075,-0.00506456915198663,-2.90523295314158,-3.56182053697416,-2.92839959205077,-0.0731937355885457,0.000774147481568122,0.243918235151871
"10",-0.0165055093986492,0.104367725211536,0.799252694181923,-0.0070505411987631,-2.27994326687045,-6.92244305431578,-4.19287794504728,-0.13350348862403,0.112128054991323,-0.918936189837671
"11",-0.0310511039010387,-0.0870228255645035,0.488893982025986,-0.00680457754844637,-0.919157709654032,-7.44287803690009,-3.777720705072,-0.146332820799296,0.0205583456891201,-1.63319200212532
"12",-0.0257588042597156,-0.0425947347408272,0.105433009443418,-0.00609480460421757,0.647219680912455,-4.36837059589821,-2.31699272719282,-0.0982791210529247,-0.00392640718302896,-1.40047519350849
"13",-0.00544256330088698,0.0221143268937902,0.0736822288417892,-0.00468353345185848,1.86360276574577,-0.0369410196238837,-0.816917970563273,-0.0298481659982347,0.221062346268681,-0.433294950752289
"14",0.010693345151505,-0.0198873302073666,0.353632963096884,-0.00241624444245562,2.50910246602172,1.8686689344244,0.232236459132912,0.000859534818526259,0.379762496930126,0.253161228903809
"15",0.00968090726986127,-0.112637614473135,0.470582134775922,-0.00170792242393633,2.86924897471008,-0.221913840375725,1.12734796526919,-0.0218410006180078,0.290370791983056,-0.141564070144725
