#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 00 131  4.1  4.7 99.00 99.00 99.00 999 1019.9  26.3  26.4  22.6 99.0 99.00
2016 01 01 01 00 128  5.0  5.8 99.00 99.00 99.00 999 1020.2  26.4  26.3  22.6 99.0 99.00
2016 01 01 02 00 128  5.6  6.5 99.00 99.00 99.00 999 1020.4  26.3  26.3  22.1 99.0 99.00
2016 01 01 03 00 121  5.6  6.3 99.00 99.00 99.00 999 1020.6  26.3  26.2  22.2 99.0 99.00
2016 01 01 04 00 123  5.8  6.3 99.00 99.00 99.00 999 1020.4  26.1  26.2  22.3 99.0 99.00
2016 01 01 05 00 126  5.1  5.8 99.00 99.00 99.00 999 1019.8  26.2  26.1  22.2 99.0 99.00
2016 01 01 06 00 128  5.1  5.7 99.00 99.00 99.00 999 1019.3  26.2  26.1  22.2 99.0 99.00
2016 01 01 07 00 128  5.3  5.9 99.00 99.00 99.00 999 1019.1  26.0  26.0  21.9 99.0 99.00
2016 01 01 08 00 141  4.8  5.1 99.00 99.00 99.00 999 1018.8  26.0  25.9  22.2 99.0 99.00
2016 01 01 09 00 138  4.1  4.5 99.00 99.00 99.00 999 1018.7  25.9  25.9  22.1 99.0 99.00
2016 01 01 10 00 135  4.9  5.6 99.00 99.00 99.00 999 1018.8  25.8  25.8  21.8 99.0 99.00
2016 01 01 11 00 152  3.8  4.5 99.00 99.00 99.00 999 1019.0  25.9  25.7  21.9 99.0 99.00
2016 01 01 12 00 143  3.2  3.8 99.00 99.00 99.00 999 1019.6  25.8  25.6  22.1 99.0 99.00
2016 01 01 13 00 157  2.9  3.2 99.00 99.00 99.00 999 1020.1  26.1  25.6  22.3 99.0 99.00
2016 01 01 14 00 155  4.4  5.3 99.00 99.00 99.00 999 1020.4  26.5  25.6  22.2 99.0 99.00
2016 01 01 15 00   0  0.0  0.0 99.00 99.00 99.00 999 1020.9  27.0  25.7  22.2 99.0 99.00
2016 01 01 16 00 159  5.3  5.9 99.00 99.00 99.00 999 1020.5  26.7  25.9  22.1 99.0 99.00
2016 01 01 17 00 162  4.6  4.9 99.00 99.00 99.00 999 1019.9  26.7  26.0  22.0 99.0 99.00
2016 01 01 18 00 174  3.9  4.3 99.00 99.00 99.00 999 1019.0  26.9  26.1  22.1 99.0 99.00
