#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 03 03 00  13  9.2 10.8 99.00 99.00 99.00 999 1020.3  14.7  17.8 999.0 99.0 99.00
2010 01 03 04 00  10  9.9 10.9 99.00 99.00 99.00 999 1020.5  14.2  17.6 999.0 99.0 99.00
2010 01 03 05 00   6  8.6 10.0 99.00 99.00 99.00 999 1020.4  13.6  17.4 999.0 99.0 99.00
2010 01 03 06 00  16  9.0  9.8 99.00 99.00 99.00 999 1019.9  13.4  17.3 999.0 99.0 99.00
2010 01 03 07 00  17  8.3  9.0 99.00 99.00 99.00 999 1019.5  13.1  17.1 999.0 99.0 99.00
2010 01 03 08 00   9 10.2 11.1 99.00 99.00 99.00 999 1018.9  12.8  16.9 999.0 99.0 99.00
2010 01 03 09 00  12  9.1 10.7 99.00 99.00 99.00 999 1018.7  12.8  16.8 999.0 99.0 99.00
2010 01 03 10 00   7  9.9 10.6 99.00 99.00 99.00 999 1018.7  11.8  16.5 999.0 99.0 99.00
2010 01 03 11 00  15  8.6  9.6 99.00 99.00 99.00 999 1018.8  11.5  16.3 999.0 99.0 99.00
2010 01 03 12 00  26  8.9  9.7 99.00 99.00 99.00 999 1018.7  11.0  16.1 999.0 99.0 99.00
2010 01 03 13 00  22  8.8  9.7 99.00 99.00 99.00 999 1019.6  10.9  16.0 999.0 99.0 99.00
2010 01 03 14 00  15  7.9  8.3 99.00 99.00 99.00 999 1020.1  11.1  15.9 999.0 99.0 99.00
2010 01 03 15 00   4  7.8  9.1 99.00 99.00 99.00 999 1020.7  11.7  15.9 999.0 99.0 99.00
2010 01 03 16 00   0  7.8  8.5 99.00 99.00 99.00 999 1020.0  12.2  16.0 999.0 99.0 99.00
2010 01 03 17 00   3  7.0  8.0 99.00 99.00 99.00 999 1019.4  13.0  16.1 999.0 99.0 99.00
2010 01 03 18 00 352  5.5  6.4 99.00 99.00 99.00 999 1018.7  13.3  16.2 999.0 99.0 99.00
2010 01 03 19 00 344  5.1  5.6 99.00 99.00 99.00 999 1017.9  13.9  16.3 999.0 99.0 99.00
2010 01 03 20 00 327  7.5  8.1 99.00 99.00 99.00 999 1017.8  13.9  16.3 999.0 99.0 99.00
2010 01 03 21 00 336  9.4  9.9 99.00 99.00 99.00 999 1018.1  13.7  16.2 999.0 99.0 99.00
2010 01 03 22 00 338  7.0  7.9 99.00 99.00 99.00 999 1017.8  13.8  16.1 999.0 99.0 99.00
2010 01 03 23 00 348  6.2  6.7 99.00 99.00 99.00 999 1018.7  14.0  16.0 999.0 99.0 99.00
2010 01 04 00 00 357  6.8  7.7 99.00 99.00 99.00 999 1018.7  14.0  15.9 999.0 99.0 99.00
2010 01 04 01 00   1  6.0  7.1 99.00 99.00 99.00 999 1019.0  13.8  15.8 999.0 99.0 99.00
2010 01 04 02 00  16  6.7  7.5 99.00 99.00 99.00 999 1019.4  12.8  15.7 999.0 99.0 99.00
2010 01 04 03 00  22  4.5  5.0 99.00 99.00 99.00 999 1018.9  12.0  15.6 999.0 99.0 99.00
2010 01 04 04 00 348  6.4  7.0 99.00 99.00 99.00 999 1019.8  11.9  15.5 999.0 99.0 99.00
2010 01 04 05 00   3  5.8  6.5 99.00 99.00 99.00 999 1019.3  11.6  15.5 999.0 99.0 99.00
2010 01 04 06 00 350  7.2  7.8 99.00 99.00 99.00 999 1019.1  11.5  15.5 999.0 99.0 99.00
2010 01 04 07 00   0  6.1  6.8 99.00 99.00 99.00 999 1018.5  11.5  15.4 999.0 99.0 99.00
2010 01 04 08 00   2  5.5  6.3 99.00 99.00 99.00 999 1018.7  11.2  15.2 999.0 99.0 99.00
2010 01 04 09 00 353  8.0  8.9 99.00 99.00 99.00 999 1019.1  11.5  15.1 999.0 99.0 99.00
2010 01 04 10 00   6  6.3  6.9 99.00 99.00 99.00 999 1018.3  10.5  15.0 999.0 99.0 99.00
2010 01 04 11 00   6  7.1  8.4 99.00 99.00 99.00 999 1019.1   9.8  14.9 999.0 99.0 99.00
2010 01 04 12 00   1  6.8  8.3 99.00 99.00 99.00 999 1019.7   9.2  14.7 999.0 99.0 99.00
2010 01 04 13 00   3  7.4  8.3 99.00 99.00 99.00 999 1019.9   8.9  14.7 999.0 99.0 99.00
2010 01 04 14 00   4  5.9  6.9 99.00 99.00 99.00 999 1020.5   8.9  14.6 999.0 99.0 99.00
2010 01 04 15 00   2  5.0  6.1 99.00 99.00 99.00 999 1021.3   8.9  14.5 999.0 99.0 99.00
2010 01 04 16 00 358  5.3  6.3 99.00 99.00 99.00 999 1020.9   9.5  14.5 999.0 99.0 99.00
2010 01 04 17 00 351  6.7  7.7 99.00 99.00 99.00 999 1020.3  10.4  14.5 999.0 99.0 99.00
2010 01 04 18 00 346  6.8  7.7 99.00 99.00 99.00 999 1019.3  12.2  14.6 999.0 99.0 99.00
2010 01 04 19 00 332  7.9  8.7 99.00 99.00 99.00 999 1018.3  12.8  14.7 999.0 99.0 99.00
2010 01 04 20 00 336  7.4  8.2 99.00 99.00 99.00 999 1018.5  13.0  14.8 999.0 99.0 99.00
2010 01 05 00 00 340 10.9 11.9 99.00 99.00 99.00 999 1020.0  13.3  14.6 999.0 99.0 99.00
2010 01 05 01 00 342  9.8 11.0 99.00 99.00 99.00 999 1020.5  13.0  14.5 999.0 99.0 99.00
2010 01 05 02 00 344 10.3 11.2 99.00 99.00 99.00 999 1020.8  12.8  14.4 999.0 99.0 99.00
2010 01 05 03 00   6  8.5  9.6 99.00 99.00 99.00 999 1021.6  12.3  14.3 999.0 99.0 99.00
2010 01 05 04 00 359  6.2  7.1 99.00 99.00 99.00 999 1021.4  11.7  14.1 999.0 99.0 99.00
2010 01 05 05 00   2  7.9  8.5 99.00 99.00 99.00 999 1021.0  11.5  14.1 999.0 99.0 99.00
2010 01 05 06 00   6  6.5  7.2 99.00 99.00 99.00 999 1020.7  11.5  14.1 999.0 99.0 99.00
2010 01 05 07 00 356  8.0  8.9 99.00 99.00 99.00 999 1021.1  11.4  14.0 999.0 99.0 99.00
2010 01 05 08 00  12  7.4  8.1 99.00 99.00 99.00 999 1020.9  10.6  13.9 999.0 99.0 99.00
2010 01 05 09 00  20  6.0  6.6 99.00 99.00 99.00 999 1021.1  10.4  13.8 999.0 99.0 99.00
2010 01 05 10 00  27  5.3  6.0 99.00 99.00 99.00 999 1021.1  10.5  13.7 999.0 99.0 99.00
2010 01 05 11 00  50  4.5  5.3 99.00 99.00 99.00 999 1021.4  10.7  13.7 999.0 99.0 99.00
2010 01 05 12 00  58  4.0  4.3 99.00 99.00 99.00 999 1021.5  10.5  13.7 999.0 99.0 99.00
2010 01 05 13 00  29  2.4  2.8 99.00 99.00 99.00 999 1022.2  10.8  13.7 999.0 99.0 99.00
2010 01 05 14 00  45  2.9  3.3 99.00 99.00 99.00 999 1022.8  11.5  13.7 999.0 99.0 99.00
2010 01 05 15 00  20  4.4  4.9 99.00 99.00 99.00 999 1023.5  11.5  13.8 999.0 99.0 99.00
2010 01 05 16 00  12  5.6  6.2 99.00 99.00 99.00 999 1023.7  11.0  13.8 999.0 99.0 99.00
2010 01 05 17 00   7  3.6  3.8 99.00 99.00 99.00 999 1023.1  11.2  13.8 999.0 99.0 99.00
2010 01 05 18 00   2  3.2  3.8 99.00 99.00 99.00 999 1022.2  11.3  13.9 999.0 99.0 99.00
