YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 03 05  90  2.7  3.1 99.00 99.00 99.00 999 1022.4  22.5  22.3 999.0 99.0  0.04
2004 01 03 06  62  4.0  4.6 99.00 99.00 99.00 999 1021.9  22.5  22.3 999.0 99.0  0.03
2004 01 03 07  69  4.0  4.3 99.00 99.00 99.00 999 1021.6  22.4  22.2 999.0 99.0 -0.07
2004 01 03 08  79  3.7  4.1 99.00 99.00 99.00 999 1021.2  22.5  22.1 999.0 99.0 -0.17
2004 01 03 09  88  2.7  3.2 99.00 99.00 99.00 999 1021.0  22.4  22.1 999.0 99.0 -0.17
2004 01 03 10  99  4.0  4.6 99.00 99.00 99.00 999 1020.6  22.8  22.1 999.0 99.0 -0.05
2004 01 03 11  93  3.1  3.4 99.00 99.00 99.00 999 1020.7  22.8  22.1 999.0 99.0  0.04
2004 01 03 12 116  6.0  7.0 99.00 99.00 99.00 999 1021.1  23.1  22.1 999.0 99.0  0.09
2004 01 03 13 114  6.0  6.6 99.00 99.00 99.00 999 1021.8  23.4  22.0 999.0 99.0  0.05
2004 01 03 14 112  5.1  5.7 99.00 99.00 99.00 999 1022.6  23.4  22.0 999.0 99.0 -0.02
2004 01 03 15 104  4.5  5.0 99.00 99.00 99.00 999 1023.4  23.6  22.1 999.0 99.0 -0.06
2004 01 03 16 100  4.5  5.2 99.00 99.00 99.00 999 1023.3  23.5  22.2 999.0 99.0  0.02
2004 01 03 17 103  5.3  6.0 99.00 99.00 99.00 999 1022.5  23.6  22.5 999.0 99.0  0.02
2004 01 03 18  93  4.6  5.5 99.00 99.00 99.00 999 1021.7  23.5  22.7 999.0 99.0  0.10
2004 01 03 19  99  5.3  5.9 99.00 99.00 99.00 999 1020.9  23.6  23.0 999.0 99.0  0.23
2004 01 03 20  92  4.5  5.3 99.00 99.00 99.00 999 1020.8  23.7  23.1 999.0 99.0  0.34
2004 01 03 21  94  4.5  5.2 99.00 99.00 99.00 999 1020.9  23.8  23.2 999.0 99.0  0.34
2004 01 03 22 100  5.0  5.5 99.00 99.00 99.00 999 1020.8  23.8  23.2 999.0 99.0  0.43
2004 01 03 23  97  4.6  5.6 99.00 99.00 99.00 999 1020.7  23.5  23.2 999.0 99.0  0.48
2004 01 04 00  95  3.6  4.2 99.00 99.00 99.00 999 1020.7  23.3  23.0 999.0 99.0  0.50
2004 01 04 01  79  3.4  4.1 99.00 99.00 99.00 999 1021.1  23.3  22.9 999.0 99.0  0.40
2004 01 04 02  87  3.9  4.3 99.00 99.00 99.00 999 1021.1  23.4  22.8 999.0 99.0  0.28
2004 01 04 03  98  3.6  4.2 99.00 99.00 99.00 999 1021.1  23.2  22.8 999.0 99.0  0.27
2004 01 04 04 112  7.3  8.3 99.00 99.00 99.00 999 1020.9  23.8  22.9 999.0 99.0  0.17
2004 01 04 05 121  7.7  8.6 99.00 99.00 99.00 999 1020.3  23.9  22.9 999.0 99.0  0.12
2004 01 04 06 120  6.2  7.2 99.00 99.00 99.00 999 1019.8  24.0  22.8 999.0 99.0  0.07
2004 01 04 07 126  7.5  9.1 99.00 99.00 99.00 999 1019.6  24.2  22.8 999.0 99.0  0.02
2004 01 04 08 119  6.5  7.5 99.00 99.00 99.00 999 1019.3  24.0  22.8 999.0 99.0 -0.11
2004 01 04 09 120  8.3  9.4 99.00 99.00 99.00 999 1018.9  23.9  22.7 999.0 99.0 -0.20
2004 01 04 10 129  7.1  7.8 99.00 99.00 99.00 999 1018.5  23.7  22.7 999.0 99.0 -0.14
2004 01 04 11 123  7.4  8.0 99.00 99.00 99.00 999 1019.1  23.6  22.7 999.0 99.0 -0.01
2004 01 04 12 122  7.1  7.9 99.00 99.00 99.00 999 1019.5  23.5  22.6 999.0 99.0  0.08
2004 01 04 13 115  5.7  6.3 99.00 99.00 99.00 999 1020.4  23.6  22.5 999.0 99.0  0.11
2004 01 04 14 119  6.6  7.8 99.00 99.00 99.00 999 1021.2  23.9  22.6 999.0 99.0  0.06
2004 01 04 15 111  6.4  7.3 99.00 99.00 99.00 999 1022.1  23.8  22.6 999.0 99.0 -0.03
2004 01 04 16 112  6.9  7.8 99.00 99.00 99.00 999 1022.0  24.1  22.7 999.0 99.0 -0.02
2004 01 04 17 111  7.6  9.1 99.00 99.00 99.00 999 1021.4  24.0  22.9 999.0 99.0  0.09
2004 01 04 18 116  7.6  8.4 99.00 99.00 99.00 999 1020.3  24.0  23.2 999.0 99.0  0.13
2004 01 04 19 114  7.7  9.0 99.00 99.00 99.00 999 1019.6  24.1  23.4 999.0 99.0  0.22
2004 01 04 20 110  6.8  7.9 99.00 99.00 99.00 999 1019.3  24.0  23.6 999.0 99.0  0.32
2004 01 04 21 109  6.2  7.3 99.00 99.00 99.00 999 1019.5  24.0  23.7 999.0 99.0  0.44
2004 01 04 22 104  6.1  7.2 99.00 99.00 99.00 999 1019.5  23.9  23.7 999.0 99.0  0.45
2004 01 04 23 110  7.0  7.8 99.00 99.00 99.00 999 1019.6  23.7  23.6 999.0 99.0  0.54
2004 01 05 00 111  5.6  6.3 99.00 99.00 99.00 999 1019.6  23.7  23.4 999.0 99.0  0.57
2004 01 05 01 110  6.3  7.4 99.00 99.00 99.00 999 1019.6  23.6  23.2 999.0 99.0  0.54
2004 01 05 02 112  6.0  6.6 99.00 99.00 99.00 999 1020.1  23.6  23.1 999.0 99.0  0.42
2004 01 05 03 115  6.3  7.3 99.00 99.00 99.00 999 1020.1  23.7  23.0 999.0 99.0  0.36
2004 01 05 04 112  5.5  6.1 99.00 99.00 99.00 999 1019.9  23.7  23.0 999.0 99.0  0.28
2004 01 05 05 111  5.0  5.7 99.00 99.00 99.00 999 1019.6  23.6  23.1 999.0 99.0  0.19
2004 01 05 06 112  5.4  5.9 99.00 99.00 99.00 999 1019.2  23.6  23.0 999.0 99.0  0.15
2004 01 05 07 119  6.4  7.0 99.00 99.00 99.00 999 1018.9  23.4  23.0 999.0 99.0  0.11
2004 01 05 08 116  7.1  7.6 99.00 99.00 99.00 999 1018.3  23.4  22.9 999.0 99.0  0.03
2004 01 05 09 119  6.5  7.4 99.00 99.00 99.00 999 1017.8  23.3  22.8 999.0 99.0 -0.16
2004 01 05 10 124  6.2  7.1 99.00 99.00 99.00 999 1017.6  23.2  22.8 999.0 99.0 -0.26
2004 01 05 11 124  5.6  6.5 99.00 99.00 99.00 999 1017.9  23.1  22.7 999.0 99.0 -0.15
2004 01 05 12 123  6.0  6.9 99.00 99.00 99.00 999 1018.3  23.2  22.7 999.0 99.0 -0.04
2004 01 05 13 126  5.6  6.5 99.00 99.00 99.00 999 1018.7  23.5  22.6 999.0 99.0  0.04
2004 01 05 14 136  6.9  7.8 99.00 99.00 99.00 999 1019.5  24.0  22.6 999.0 99.0  0.06
2004 01 05 15 127  5.7  6.5 99.00 99.00 99.00 999 1020.1  24.2  22.7 999.0 99.0  0.00
2004 01 05 16 130  7.0  7.7 99.00 99.00 99.00 999 1020.1  24.4  22.8 999.0 99.0 -0.10
2004 01 05 17 131  6.3  7.1 99.00 99.00 99.00 999 1019.3  24.5  22.9 999.0 99.0 -0.03
2004 01 05 18 124  4.8  5.5 99.00 99.00 99.00 999 1018.3  24.5  23.2 999.0 99.0  0.01
2004 01 05 19 123  4.4  4.9 99.00 99.00 99.00 999 1017.8  24.6  23.5 999.0 99.0  0.09
2004 01 05 20 130  5.3  5.8 99.00 99.00 99.00 999 1017.6  24.7  23.8 999.0 99.0  0.23
2004 01 05 21 128  3.5  4.3 99.00 99.00 99.00 999 1017.8  25.0  23.9 999.0 99.0  0.39
2004 01 05 22 108  4.0  4.6 99.00 99.00 99.00 999 1018.0  24.3  24.0 999.0 99.0  0.50
2004 01 05 23 118  4.1  4.9 99.00 99.00 99.00 999 1018.2  24.1  23.9 999.0 99.0  0.48
2004 01 06 00 121  3.8  4.2 99.00 99.00 99.00 999 1018.6  24.0  23.9 999.0 99.0  0.54
2004 01 06 01 115  3.1  3.7 99.00 99.00 99.00 999 1019.0  23.9  23.8 999.0 99.0  0.54
2004 01 06 02 102  2.8  3.1 99.00 99.00 99.00 999 1019.3  23.8  23.6 999.0 99.0  0.47
2004 01 06 03  94  2.1  2.4 99.00 99.00 99.00 999 1019.6  23.6  23.5 999.0 99.0  0.36
2004 01 06 04  87  2.1  2.5 99.00 99.00 99.00 999 1019.4  23.4  23.6 999.0 99.0  0.32
2004 01 06 05  98  1.5  1.9 99.00 99.00 99.00 999 1019.3  23.3  23.6 999.0 99.0  0.21
2004 01 06 06 121  2.6  3.0 99.00 99.00 99.00 999 1019.3  23.7  23.5 999.0 99.0  0.18
2004 01 06 07 123  3.7  4.1 99.00 99.00 99.00 999 1019.4  23.8  23.4 999.0 99.0  0.16
2004 01 06 08 128  3.0  3.3 99.00 99.00 99.00 999 1019.0  23.6  23.3 999.0 99.0  0.10
2004 01 06 09 116  3.0  3.4 99.00 99.00 99.00 999 1019.0  23.5  23.3 999.0 99.0 -0.01
2004 01 06 10 103  2.0  2.4 99.00 99.00 99.00 999 1019.1  23.4  23.2 999.0 99.0 -0.20
2004 01 06 11  82  2.3  2.7 99.00 99.00 99.00 999 1019.3  23.3  23.2 999.0 99.0 -0.31
2004 01 06 12  60  4.7  5.3 99.00 99.00 99.00 999 1019.4  22.8  23.1 999.0 99.0 -0.17
2004 01 06 13  78  3.3  3.9 99.00 99.00 99.00 999 1019.7  23.0  23.1 999.0 99.0 -0.05
2004 01 06 14  86  1.6  1.9 99.00 99.00 99.00 999 1020.5  23.5  23.1 999.0 99.0  0.04
2004 01 06 15  44  2.4  2.8 99.00 99.00 99.00 999 1021.2  23.8  23.2 999.0 99.0  0.02
2004 01 06 16  45  3.2  3.6 99.00 99.00 99.00 999 1021.1  23.5  23.4 999.0 99.0 -0.07
2004 01 06 17  96  2.6  3.2 99.00 99.00 99.00 999 1020.0  24.2  23.6 999.0 99.0 -0.14
2004 01 06 18  87  2.8  3.6 99.00 99.00 99.00 999 1019.4  24.2  23.8 999.0 99.0 -0.04
2004 01 06 19  83  2.2  2.6 99.00 99.00 99.00 999 1019.2  24.2  23.9 999.0 99.0 -0.07
2004 01 06 20  91  2.4  3.2 99.00 99.00 99.00 999 1018.8  24.3  24.1 999.0 99.0  0.03
2004 01 06 21 103  3.9  4.3 99.00 99.00 99.00 999 1018.9  24.5  24.2 999.0 99.0  0.24
2004 01 06 22 105  3.4  3.7 99.00 99.00 99.00 999 1019.6  24.3  24.2 999.0 99.0  0.44
2004 01 06 23  97  2.3  2.8 99.00 99.00 99.00 999 1020.0  24.1  24.2 999.0 99.0  0.53
2004 01 07 00  92  1.6  2.0 99.00 99.00 99.00 999 1020.3  24.0  24.1 999.0 99.0  0.56
2004 01 07 01  74  1.3  1.6 99.00 99.00 99.00 999 1020.7  24.0  24.0 999.0 99.0  0.63
2004 01 07 02  42  2.7  3.0 99.00 99.00 99.00 999 1021.0  23.9  23.9 999.0 99.0  0.63
2004 01 07 03  15  3.2  3.7 99.00 99.00 99.00 999 1021.5  23.9  23.8 999.0 99.0  0.53
2004 01 07 04 341  3.2  4.0 99.00 99.00 99.00 999 1021.7  23.4  23.8 999.0 99.0  0.45
2004 01 07 05 347  4.4  4.6 99.00 99.00 99.00 999 1021.3  23.2  23.8 999.0 99.0  0.36
2004 01 07 06  15  3.8  4.1 99.00 99.00 99.00 999 1021.2  23.1  23.8 999.0 99.0  0.30
2004 01 07 07  39  5.0  5.8 99.00 99.00 99.00 999 1021.0  23.4  23.8 999.0 99.0  0.28
2004 01 07 08  24 10.0 11.1 99.00 99.00 99.00 999 1020.7  20.6  23.6 999.0 99.0  0.31
