YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 01 00 319  6.6  7.3 99.00 99.00 99.00 999 1026.1  19.4  19.9 999.0 99.0
98 01 01 01 327  6.3  6.8 99.00 99.00 99.00 999 1026.8  19.5  19.8 999.0 99.0
98 01 01 02 338  6.7  7.3 99.00 99.00 99.00 999 1027.4  19.4  19.8 999.0 99.0
98 01 01 03 342  7.9  9.0 99.00 99.00 99.00 999 1027.9  19.1  19.8 999.0 99.0
98 01 01 04 358  9.0  9.9 99.00 99.00 99.00 999 1028.3  18.4  19.7 999.0 99.0
98 01 01 05   7 10.6 11.9 99.00 99.00 99.00 999 1028.4  17.2  19.5 999.0 99.0
98 01 01 06  13 10.2 11.3 99.00 99.00 99.00 999 1028.4  16.6  19.4 999.0 99.0
98 01 01 07  13 13.4 15.0 99.00 99.00 99.00 999 1028.7  15.4  19.0 999.0 99.0
98 01 01 08  15 12.8 14.6 99.00 99.00 99.00 999 1028.6  14.2  18.6 999.0 99.0
98 01 01 09  21 12.4 14.3 99.00 99.00 99.00 999 1028.4  14.0  18.4 999.0 99.0
98 01 01 10  19 11.1 13.8 99.00 99.00 99.00 999 1028.7  13.8  18.2 999.0 99.0
98 01 01 11  21 11.3 13.5 99.00 99.00 99.00 999 1028.8  13.5  17.9 999.0 99.0
98 01 01 12  19 11.7 13.2 99.00 99.00 99.00 999 1029.1  13.1  17.8 999.0 99.0
98 01 01 13  14 12.1 13.1 99.00 99.00 99.00 999 1029.3  12.8  17.6 999.0 99.0
98 01 01 14  21 11.5 12.6 99.00 99.00 99.00 999 1030.0  13.3  17.5 999.0 99.0
98 01 01 15  28 11.2 12.4 99.00 99.00 99.00 999 1030.4  14.3  17.5 999.0 99.0
98 01 01 16  27  9.1 11.2 99.00 99.00 99.00 999 1030.3  15.2  17.6 999.0 99.0
98 01 01 17  46  8.7  9.9 99.00 99.00 99.00 999 1029.6  16.3  17.7 999.0 99.0
98 01 01 18  41  7.6  8.5 99.00 99.00 99.00 999 1028.6  17.5  17.8 999.0 99.0
98 01 01 19  63  8.0  9.3 99.00 99.00 99.00 999 1027.9  18.6  17.9 999.0 99.0
