#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00 120  2.7  3.1 99.00 99.00 99.00 999 1017.9  25.0  25.3  21.4 99.0  0.78
2008 01 01 01 00 132  2.7  3.0 99.00 99.00 99.00 999 1018.4  24.9  25.2  22.0 99.0  0.70
2008 01 01 02 00 154  3.1  3.4 99.00 99.00 99.00 999 1018.9  24.9  25.2  21.9 99.0  0.66
2008 01 01 03 00 159  2.5  2.8 99.00 99.00 99.00 999 1019.1  24.9  25.2  21.9 99.0  0.63
2008 01 01 04 00 140  2.3  2.6 99.00 99.00 99.00 999 1019.0  24.8  25.2  21.8 99.0  0.57
2008 01 01 05 00 121  1.1  1.3 99.00 99.00 99.00 999 1018.9  24.6  25.3  21.8 99.0  0.48
2008 01 01 06 00  94  1.6  1.8 99.00 99.00 99.00 999 1018.8  24.6  25.3  21.9 99.0  0.46
2008 01 01 07 00  90  1.3  1.4 99.00 99.00 99.00 999 1018.5  24.6  25.2  22.2 99.0  0.58
2008 01 01 08 00 108  1.5  1.7 99.00 99.00 99.00 999 1018.2  24.4  25.1  22.0 99.0  0.66
2008 01 01 09 00  96  1.1  1.3 99.00 99.00 99.00 999 1018.4  24.4  25.0  22.1 99.0  0.68
2008 01 01 10 00 104  1.8  2.1 99.00 99.00 99.00 999 1018.4  24.5  25.0  21.2 99.0  0.64
2008 01 01 11 00 100  2.5  2.7 99.00 99.00 99.00 999 1018.4  24.5  24.9  21.5 99.0  0.59
2008 01 01 12 00 107  2.0  2.2 99.00 99.00 99.00 999 1018.8  24.5  24.9  21.5 99.0  0.61
2008 01 01 13 00  40  1.3  1.4 99.00 99.00 99.00 999 1019.5  24.9  24.9  21.7 99.0  0.57
2008 01 01 14 00   1  0.1  0.5 99.00 99.00 99.00 999 1019.9  24.6  24.9  21.6 99.0  0.52
2008 01 01 15 00   9  1.1  1.4 99.00 99.00 99.00 999 1020.6  25.0  25.0  21.3 99.0  0.50
2008 01 01 16 00  35  0.9  1.2 99.00 99.00 99.00 999 1020.4  25.3  25.2  21.2 99.0  0.52
2008 01 01 17 00 111  0.1  0.3 99.00 99.00 99.00 999 1020.0  25.8  25.4  20.1 99.0  0.54
2008 01 01 18 00 102  0.7  0.8 99.00 99.00 99.00 999 1019.4  25.2  25.7  19.3 99.0  0.58
2008 01 01 19 00 319  0.8  1.1 99.00 99.00 99.00 999 1018.4  26.2  25.8  19.5 99.0  0.63
