YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
94 01 01 00 048 06.0 06.6 99.00 99.00 99.00 999 1022.7  21.4 999.0 999.0 99.0
94 01 01 01 037 06.0 06.7 99.00 99.00 99.00 999 1022.9  21.1 999.0 999.0 99.0
94 01 01 02 062 05.3 05.7 99.00 99.00 99.00 999 1022.7  21.2 999.0 999.0 99.0
94 01 01 03 097 06.9 07.9 99.00 99.00 99.00 999 1022.5  22.8 999.0 999.0 99.0
94 01 01 04 085 06.1 06.7 99.00 99.00 99.00 999 1022.6  22.6 999.0 999.0 99.0
94 01 01 05 093 06.6 07.4 99.00 99.00 99.00 999 1022.2  22.5 999.0 999.0 99.0
94 01 01 06 091 06.4 07.0 99.00 99.00 99.00 999 1022.2  22.6 999.0 999.0 99.0
94 01 01 07 097 06.6 07.3 99.00 99.00 99.00 999 1021.5  22.8 999.0 999.0 99.0
94 01 01 08 101 06.9 07.9 99.00 99.00 99.00 999 1021.3  22.9 999.0 999.0 99.0
94 01 01 09 093 07.3 08.0 99.00 99.00 99.00 999 1021.1  22.7 999.0 999.0 99.0
94 01 01 10 095 06.4 07.6 99.00 99.00 99.00 999 1021.3  22.6 999.0 999.0 99.0
94 01 01 11 108 07.6 08.4 99.00 99.00 99.00 999 1021.5  22.8 999.0 999.0 99.0
94 01 01 12 105 06.2 07.1 99.00 99.00 99.00 999 1022.1  22.8 999.0 999.0 99.0
94 01 01 13 110 06.2 07.2 99.00 99.00 99.00 999 1022.5  23.1 999.0 999.0 99.0
94 01 01 14 098 06.2 06.5 99.00 99.00 99.00 999 1022.8  23.1 999.0 999.0 99.0
94 01 01 15 113 06.2 06.8 99.00 99.00 99.00 999 1023.0  23.2 999.0 999.0 99.0
94 01 01 16 093 06.1 06.6 99.00 99.00 99.00 999 1022.4  23.2 999.0 999.0 99.0
94 01 01 17 096 06.3 06.7 99.00 99.00 99.00 999 1021.6  23.4 999.0 999.0 99.0
94 01 01 18 106 06.6 07.6 99.00 99.00 99.00 999 1020.2  23.4 999.0 999.0 99.0
94 01 01 19 107 06.6 07.4 99.00 99.00 99.00 999 1019.4  23.7 999.0 999.0 99.0
94 01 01 20 089 05.8 06.4 99.00 99.00 99.00 999 1018.9  23.5 999.0 999.0 99.0
94 01 01 21 105 06.4 07.8 99.00 99.00 99.00 999 1018.3  23.7 999.0 999.0 99.0
94 01 01 22 106 05.7 06.1 99.00 99.00 99.00 999 1018.2  23.7 999.0 999.0 99.0
94 01 01 23 119 05.7 06.3 99.00 99.00 99.00 999 1017.8  23.9 999.0 999.0 99.0
94 01 02 00 121 06.6 07.4 99.00 99.00 99.00 999 1017.7  23.9 999.0 999.0 99.0
94 01 02 01 128 06.4 07.1 99.00 99.00 99.00 999 1017.9  24.0 999.0 999.0 99.0
94 01 02 02 142 06.2 06.7 99.00 99.00 99.00 999 1018.1  24.0 999.0 999.0 99.0
94 01 02 03 146 06.3 07.2 99.00 99.00 99.00 999 1018.0  23.9 999.0 999.0 99.0
94 01 02 04 156 05.8 06.5 99.00 99.00 99.00 999 1017.7  24.0 999.0 999.0 99.0
94 01 02 05 154 06.8 07.6 99.00 99.00 99.00 999 1017.0  24.2 999.0 999.0 99.0
94 01 02 06 155 08.1 09.3 99.00 99.00 99.00 999 1015.9  24.2 999.0 999.0 99.0
94 01 02 07 159 07.1 07.9 99.00 99.00 99.00 999 1015.8  24.3 999.0 999.0 99.0
94 01 02 08 164 05.1 05.6 99.00 99.00 99.00 999 1015.3  24.2 999.0 999.0 99.0
94 01 02 09 182 05.3 05.9 99.00 99.00 99.00 999 1015.2  24.2 999.0 999.0 99.0
94 01 02 10 187 05.3 06.0 99.00 99.00 99.00 999 1015.2  24.2 999.0 999.0 99.0
94 01 02 11 178 06.3 06.9 99.00 99.00 99.00 999 1015.2  24.1  21.7 999.0 99.0
94 01 02 12 188 06.5 07.5 99.00 99.00 99.00 999 1015.5  23.9  21.7 999.0 99.0
