#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 02 01 00 329  9.2 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 02 02 00 333  8.3 99.0 99.00 99.00 99.00 999 9999.0  19.8 999.0  17.1 99.0 99.00
2018 01 02 12 00 354  6.7 99.0 99.00 99.00 99.00 999 9999.0  14.5 999.0  13.1 99.0 99.00
2018 01 02 15 00 356  7.5 99.0 99.00 99.00 99.00 999 9999.0  14.5 999.0 999.0 99.0 99.00
2018 01 02 20 00 292  1.3 99.0 99.00 99.00 99.00 999 9999.0  16.9 999.0 999.0 99.0 99.00
2018 01 02 21 00   6  6.6  7.6 99.00 99.00 99.00 999 1016.0  18.1  21.0  16.8 99.0 99.00
2018 01 03 02 00  13  3.1  3.3 99.00 99.00 99.00 999 1016.4  18.7  21.0  17.9 99.0 99.00
2018 01 03 04 00 999 99.0  1.1 99.00 99.00 99.00 999 1015.6  18.7  21.3  18.3 99.0 99.00
2018 01 03 05 00  66  4.9 99.0 99.00 99.00 99.00 999 9999.0  18.9 999.0  18.6 99.0 99.00
2018 01 03 12 00 327  6.8 99.0 99.00 99.00 99.00 999 1012.7  17.9 999.0  17.7 99.0 99.00
2018 01 03 13 00 326  6.1 99.0 99.00 99.00 99.00 999 9999.0  18.0 999.0 999.0 99.0 99.00
2018 01 03 15 00 299  9.4 99.0 99.00 99.00 99.00 999 9999.0  17.7 999.0 999.0 99.0 99.00
2018 01 03 16 00 318 13.5 15.5 99.00 99.00 99.00 999 1014.6  17.8  20.5  17.4 99.0 99.00
2018 01 03 22 00 328 13.2 14.6 99.00 99.00 99.00 999 1014.0  17.0  20.2  13.5 99.0 99.00
2018 01 04 01 00 353  7.8  8.7 99.00 99.00 99.00 999 1016.0  16.4  19.8  12.5 99.0 99.00
2018 01 04 04 00   1  7.0  7.5 99.00 99.00 99.00 999 1017.5  15.2  19.5   9.1 99.0 99.00
2018 01 04 05 00   8  7.2 99.0 99.00 99.00 99.00 999 9999.0  14.9 999.0   7.9 99.0 99.00
2018 01 04 07 00  16  7.4 99.0 99.00 99.00 99.00 999 9999.0  13.4 999.0   8.0 99.0 99.00
2018 01 04 09 00  13  6.5 99.0 99.00 99.00 99.00 999 1017.6  12.6 999.0   7.1 99.0 99.00
2018 01 04 13 00   6 11.8 99.0 99.00 99.00 99.00 999 1020.4  10.1 999.0   1.2 99.0 99.00
2018 01 04 14 00 356  8.3 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 04 18 00 355  5.5 99.0 99.00 99.00 99.00 999 1020.3  11.7 999.0   1.9 99.0 99.00
2018 01 04 21 00 322  8.9 10.1 99.00 99.00 99.00 999 1019.1  14.2  18.2   6.6 99.0 99.00
2018 01 05 02 00 355  7.3 99.0 99.00 99.00 99.00 999 1022.0  14.2 999.0   8.2 99.0 99.00
2018 01 05 05 00   7  7.1  7.8 99.00 99.00 99.00 999 1022.8  13.3  17.4   6.8 99.0 99.00
2018 01 05 08 00 999  9.1 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 05 11 00  24  9.2 99.0 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2018 01 05 15 00  27  7.8 99.0 99.00 99.00 99.00 999 9999.0  10.6 999.0   4.5 99.0 99.00
2018 01 05 16 00  24  8.5 99.0 99.00 99.00 99.00 999 9999.0  11.2 999.0 999.0 99.0 99.00
2018 01 05 17 00  21  7.2 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 05 21 00  67  3.9 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 05 23 00  56  3.8 99.0 99.00 99.00 99.00 999 1025.1  14.7  16.6   2.4 99.0 99.00
2018 01 06 01 00  17  6.8 99.0 99.00 99.00 99.00 999 9999.0  14.0 999.0 999.0 99.0 99.00
2018 01 06 05 00  18  8.1  9.0 99.00 99.00 99.00 999 1025.9  12.8  16.0   6.5 99.0 99.00
2018 01 06 07 00  11  9.4 99.0 99.00 99.00 99.00 999 1025.1  12.4  15.7   7.6 99.0 99.00
2018 01 06 10 00  13 10.8 99.0 99.00 99.00 99.00 999 1024.9  11.8 999.0   5.2 99.0 99.00
2018 01 06 11 00  16 11.1 99.0 99.00 99.00 99.00 999 9999.0  11.8 999.0   5.7 99.0 99.00
2018 01 06 12 00  10 10.5 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 06 13 00  27  0.8 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 06 15 00  26  8.3  9.3 99.00 99.00 99.00 999 1026.8  12.8  15.0   7.1 99.0 99.00
2018 01 06 18 00  32  6.3  7.3 99.00 99.00 99.00 999 1025.2  15.1  15.6   8.8 99.0 99.00
2018 01 06 21 00  15  5.9  6.9 99.00 99.00 99.00 999 1024.4  16.4  16.0  10.5 99.0 99.00
2018 01 06 22 00  21  8.4 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 07 00 00  22  8.1 99.0 99.00 99.00 99.00 999 1025.2  16.3 999.0   9.9 99.0 99.00
2018 01 07 04 00  29  8.0 99.0 99.00 99.00 99.00 999 9999.0  14.3 999.0  10.3 99.0 99.00
2018 01 07 07 00  17  9.4 99.0 99.00 99.00 99.00 999 9999.0  12.9 999.0 999.0 99.0 99.00
2018 01 07 08 00  16 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 07 17 00  34  3.3 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 08 14 00 999 99.0 99.0 99.00 99.00 99.00 999 1020.3  20.4  15.9  16.2 99.0 99.00
2018 01 08 15 00 136  5.7 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 08 16 00 137  5.2 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 08 19 00 125  5.7 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 08 22 00 150  3.1  3.7 99.00 99.00 99.00 999 1016.6  21.3  17.8  18.6 99.0 99.00
2018 01 08 23 00 136  4.2 99.0 99.00 99.00 99.00 999 1016.8  21.2 999.0  18.6 99.0 99.00
2018 01 09 01 00 156  2.6 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2018 01 09 02 00 154  2.3  2.6 99.00 99.00 99.00 999 1017.7  21.1  17.4  19.2 99.0 99.00
2018 01 09 03 00 166  1.3 99.0 99.00 99.00 99.00 999 1017.9  20.7  17.4  19.0 99.0 99.00
2018 01 09 05 00   0  0.0 99.0 99.00 99.00 99.00 999 9999.0  21.0 999.0  20.2 99.0 99.00
