YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 108  1.7  1.8 99.00 99.00 99.00 999 1017.0  22.9  22.5  22.9 99.0  0.67
2006 01 01 01 00 102  2.0  2.1 99.00 99.00 99.00 999 1017.3  22.6  22.5  22.6 99.0  0.81
2006 01 01 02 00 119  2.1  2.2 99.00 99.00 99.00 999 1017.6  22.7  22.3  22.7 99.0  0.91
2006 01 01 03 00 123  2.8  3.0 99.00 99.00 99.00 999 1017.7  22.8  22.3  22.8 99.0  0.92
2006 01 01 04 00 128  3.2  3.5 99.00 99.00 99.00 999 1017.5  22.8  22.3  22.8 99.0  0.83
2006 01 01 05 00 142  3.9  4.5 99.00 99.00 99.00 999 1017.0  22.9  22.2  22.9 99.0  0.76
2006 01 01 06 00 146  5.4  5.8 99.00 99.00 99.00 999 1016.4  22.9  22.2  22.9 99.0  0.63
2006 01 01 07 00 149  5.0  5.5 99.00 99.00 99.00 999 1016.3  23.0  22.2  23.0 99.0  0.53
2006 01 01 08 00 160  3.6  3.9 99.00 99.00 99.00 999 1016.1  22.9  22.3  22.9 99.0  0.47
2006 01 01 09 00 165  3.1  3.4 99.00 99.00 99.00 999 1016.3  22.7  22.2  22.7 99.0  0.44
2006 01 01 10 00 149  2.5  2.6 99.00 99.00 99.00 999 1016.6  22.7  22.1  22.7 99.0  0.31
2006 01 01 11 00 114  2.9  3.1 99.00 99.00 99.00 999 1017.0  22.5  21.9  22.5 99.0  0.07
2006 01 01 12 00 123  2.9  3.1 99.00 99.00 99.00 999 1017.5  22.6  21.9  22.6 99.0 -0.13
2006 01 01 13 00  21  0.2  0.8 99.00 99.00 99.00 999 1018.4  22.9  21.9  22.9 99.0 -0.10
2006 01 01 14 00 112  3.6  3.9 99.00 99.00 99.00 999 1018.9  23.3  22.0  23.3 99.0  0.09
2006 01 01 15 00 127  5.0  5.5 99.00 99.00 99.00 999 1019.6  24.1  22.0  22.9 99.0  0.27
2006 01 01 16 00 141  4.2  4.8 99.00 99.00 99.00 999 1019.2  24.1  22.2  23.0 99.0  0.33
2006 01 01 17 00 142  3.8  4.2 99.00 99.00 99.00 999 1018.6  24.2  22.5  23.0 99.0  0.25
2006 01 01 18 00 153  4.8  5.4 99.00 99.00 99.00 999 1017.7  24.3  22.7  22.7 99.0  0.02
2006 01 01 19 00 150  3.8  4.2 99.00 99.00 99.00 999 1017.3  24.4  22.8  22.7 99.0 -0.17
2006 01 01 20 00 144  4.1  4.3 99.00 99.00 99.00 999 1017.1  24.5  23.0  22.5 99.0 -0.15
2006 01 01 21 00 149  3.9  4.2 99.00 99.00 99.00 999 1017.4  24.7  23.2  22.6 99.0 -0.11
2006 01 01 22 00 102  3.8  4.3 99.00 99.00 99.00 999 1017.8  24.2  23.2  22.3 99.0  0.09
2006 01 01 23 00  96  3.4  4.0 99.00 99.00 99.00 999 1018.3  23.6  23.2  23.2 99.0  0.30
2006 01 02 00 00 112  3.7  4.0 99.00 99.00 99.00 999 1018.6  23.5  23.3  22.8 99.0  0.54
2006 01 02 01 00 108  4.3  4.8 99.00 99.00 99.00 999 1018.8  23.5  23.3  21.9 99.0  0.62
2006 01 02 02 00 108  4.4  5.1 99.00 99.00 99.00 999 1019.1  23.4  23.2  22.3 99.0  0.80
2006 01 02 03 00 119  4.7  5.3 99.00 99.00 99.00 999 1018.9  23.3  23.1  22.4 99.0  0.94
2006 01 02 04 00 109  4.2  4.6 99.00 99.00 99.00 999 1018.8  23.3  23.1  22.1 99.0  0.96
2006 01 02 05 00 124  5.5  6.0 99.00 99.00 99.00 999 1018.4  23.2  23.0  22.0 99.0  0.88
2006 01 02 06 00 126  5.7  6.4 99.00 99.00 99.00 999 1018.2  23.2  22.9  22.1 99.0  0.85
2006 01 02 07 00 121  4.4  5.0 99.00 99.00 99.00 999 1018.2  23.1  22.9  22.1 99.0  0.73
2006 01 02 08 00 136  5.8  6.5 99.00 99.00 99.00 999 1017.9  23.0  22.9  21.4 99.0  0.64
2006 01 02 09 00 124  3.9  4.3 99.00 99.00 99.00 999 1018.2  23.0  22.9  21.3 99.0  0.59
2006 01 02 10 00 101  3.2  3.7 99.00 99.00 99.00 999 1018.6  22.9  22.9  21.6 99.0  0.55
2006 01 02 11 00 100  3.4  3.7 99.00 99.00 99.00 999 1018.8  22.9  22.7  22.0 99.0  0.39
2006 01 02 12 00 108  3.8  4.2 99.00 99.00 99.00 999 1019.0  22.8  22.5  22.5 99.0  0.12
2006 01 02 13 00  90  2.4  2.6 99.00 99.00 99.00 999 1019.8  23.2  22.5  22.2 99.0 -0.06
2006 01 02 14 00 100  2.5  2.7 99.00 99.00 99.00 999 1020.6  23.9  22.5  22.1 99.0  0.04
2006 01 02 15 00 136  3.9  4.3 99.00 99.00 99.00 999 1021.0  24.4  22.7  21.8 99.0  0.22
2006 01 02 16 00 123  4.1  4.6 99.00 99.00 99.00 999 1020.7  24.3  22.8  21.3 99.0  0.34
2006 01 02 17 00 111  3.6  4.5 99.00 99.00 99.00 999 1019.8  24.8  23.1  21.9 99.0  0.36
2006 01 02 18 00 129  3.5  3.9 99.00 99.00 99.00 999 1018.6  24.8  23.4  22.3 99.0  0.21
2006 01 02 19 00 148  4.8  5.3 99.00 99.00 99.00 999 1017.5  24.6  23.6  22.1 99.0 -0.06
2006 01 02 20 00 146  4.2  4.8 99.00 99.00 99.00 999 1017.1  24.5  23.7  22.8 99.0 -0.15
2006 01 02 21 00 156  4.9  5.7 99.00 99.00 99.00 999 1016.7  24.7  23.8  22.7 99.0 -0.18
2006 01 02 22 00 168  5.5  6.2 99.00 99.00 99.00 999 1016.4  24.4  23.8  22.8 99.0 -0.13
2006 01 02 23 00 158  4.9  5.3 99.00 99.00 99.00 999 1016.7  24.1  23.8  23.1 99.0  0.03
2006 01 03 00 00 154  3.9  4.3 99.00 99.00 99.00 999 1017.1  24.0  23.8  23.5 99.0  0.23
2006 01 03 01 00 155  2.8  3.0 99.00 99.00 99.00 999 1017.6  23.9  23.9  23.9 99.0  0.40
2006 01 03 02 00 129  1.4  1.5 99.00 99.00 99.00 999 1018.0  23.7  23.9  23.6 99.0  0.49
2006 01 03 03 00   0  0.0  0.0 99.00 99.00 99.00 999 1018.3  23.4  23.9  23.4 99.0  0.63
2006 01 03 04 00 116  0.5  0.5 99.00 99.00 99.00 999 1018.6  23.2  23.7  23.2 99.0  0.74
2006 01 03 05 00 123  1.4  1.5 99.00 99.00 99.00 999 1018.0  23.2  23.7  23.2 99.0  0.76
2006 01 03 06 00 149  1.6  1.7 99.00 99.00 99.00 999 1017.8  23.2  23.7  23.2 99.0  0.66
2006 01 03 07 00 181  1.3  1.6 99.00 99.00 99.00 999 1017.7  23.2  23.6  23.2 99.0  0.63
2006 01 03 08 00 186  1.6  1.8 99.00 99.00 99.00 999 1017.3  23.1  23.6  23.1 99.0  0.49
2006 01 03 09 00 169  2.0  2.2 99.00 99.00 99.00 999 1016.9  23.1  23.6  23.1 99.0  0.43
2006 01 03 10 00 159  0.2  0.3 99.00 99.00 99.00 999 1017.1  23.0  23.6  23.0 99.0  0.40
2006 01 03 11 00 207  0.9  0.9 99.00 99.00 99.00 999 1017.1  23.1  23.5  23.1 99.0  0.36
2006 01 03 12 00 197  2.0  2.1 99.00 99.00 99.00 999 1017.3  23.0  23.3  23.0 99.0  0.23
2006 01 03 13 00 210  1.7  2.0 99.00 99.00 99.00 999 1017.6  23.3  23.2  23.3 99.0  0.01
2006 01 03 14 00 289  0.1  0.5 99.00 99.00 99.00 999 1018.2  24.0  23.2  24.0 99.0 -0.09
2006 01 03 15 00 232  2.0  2.2 99.00 99.00 99.00 999 1018.7  24.3  23.3  24.3 99.0  0.00
2006 01 03 16 00 262  1.4  2.2 99.00 99.00 99.00 999 1018.3  23.9  23.5  23.9 99.0  0.20
2006 01 03 17 00 300  4.8  5.5 99.00 99.00 99.00 999 1017.7  23.5  23.8  23.5 99.0  0.35
2006 01 03 18 00 297  4.8  5.6 99.00 99.00 99.00 999 1016.7  23.4  24.0  23.4 99.0  0.31
2006 01 03 19 00 302  5.7  6.2 99.00 99.00 99.00 999 1015.9  23.5  24.3  23.5 99.0  0.15
2006 01 03 20 00 286  5.1  5.5 99.00 99.00 99.00 999 1015.7  23.5  24.4  23.5 99.0 -0.04
2006 01 03 21 00 277  4.8  5.5 99.00 99.00 99.00 999 1015.4  23.8  24.5  23.8 99.0 -0.07
2006 01 03 22 00 280  5.4  5.8 99.00 99.00 99.00 999 1015.8  23.6  24.5  23.6 99.0 -0.08
2006 01 03 23 00 288  6.1  6.5 99.00 99.00 99.00 999 1016.1  23.4  24.5  23.4 99.0 -0.03
2006 01 04 00 00 285  5.6  6.3 99.00 99.00 99.00 999 1016.4  23.5  24.3  23.5 99.0  0.12
2006 01 04 01 00 288  7.0  8.0 99.00 99.00 99.00 999 1016.8  23.3  24.3  23.3 99.0  0.26
2006 01 04 02 00 274  6.0  6.7 99.00 99.00 99.00 999 1016.6  23.3  24.2  23.3 99.0  0.33
2006 01 04 03 00 274  6.0  6.8 99.00 99.00 99.00 999 1016.7  23.4  24.2  23.4 99.0  0.44
2006 01 04 04 00 285  6.2  6.7 99.00 99.00 99.00 999 1016.8  23.3  24.2  23.3 99.0  0.60
2006 01 04 05 00 291  6.9  8.2 99.00 99.00 99.00 999 1016.4  23.2  24.2  23.2 99.0  0.71
2006 01 04 06 00 301  7.7  8.6 99.00 99.00 99.00 999 1016.0  23.0  24.1  23.0 99.0  0.72
2006 01 04 07 00 316  6.4  7.2 99.00 99.00 99.00 999 1015.8  22.4  24.1  22.4 99.0  0.67
2006 01 04 08 00 327  7.1  7.9 99.00 99.00 99.00 999 1015.9  22.1  24.0  22.1 99.0  0.64
2006 01 04 09 00   3  5.9  6.5 99.00 99.00 99.00 999 1015.9  22.1  24.0  15.9 99.0  0.53
2006 01 04 10 00 358  7.7  8.1 99.00 99.00 99.00 999 1015.8  21.6  23.8  12.4 99.0  0.46
2006 01 04 11 00   7  7.1  7.7 99.00 99.00 99.00 999 1016.1  20.7  23.5  13.0 99.0  0.42
2006 01 04 12 00 358  5.3  6.0 99.00 99.00 99.00 999 1016.7  20.0  23.2  13.7 99.0  0.37
2006 01 04 13 00   0  4.5  4.9 99.00 99.00 99.00 999 1017.3  19.6  23.1  14.5 99.0  0.24
2006 01 04 14 00 356  5.8  6.9 99.00 99.00 99.00 999 1018.2  19.2  23.0  14.0 99.0  0.09
2006 01 04 15 00 346  4.9  5.5 99.00 99.00 99.00 999 1018.3  19.0  23.1  12.7 99.0  0.01
2006 01 04 16 00 351  3.9  4.4 99.00 99.00 99.00 999 1017.7  19.2  23.1  12.1 99.0  0.16
2006 01 04 17 00 338  3.3  3.9 99.00 99.00 99.00 999 1017.0  19.5  23.2  13.6 99.0  0.34
2006 01 04 18 00 301  2.7  3.3 99.00 99.00 99.00 999 1015.6  20.5  23.4  13.3 99.0  0.44
2006 01 04 19 00 285  3.0  4.0 99.00 99.00 99.00 999 1014.8  20.7  23.6  13.4 99.0  0.42
2006 01 04 20 00 305  3.9  4.3 99.00 99.00 99.00 999 1014.5  20.8  23.8  13.4 99.0  0.25
2006 01 04 21 00 309  5.0  5.8 99.00 99.00 99.00 999 1014.6  21.0  23.9  13.5 99.0  0.19
2006 01 04 22 00 308  7.4  8.2 99.00 99.00 99.00 999 1014.8  21.1  23.8  14.5 99.0  0.07
2006 01 04 23 00 319  7.6  8.5 99.00 99.00 99.00 999 1015.0  20.9  23.6  14.9 99.0  0.02
2006 01 05 00 00 322  7.7  8.5 99.00 99.00 99.00 999 1015.4  20.8  23.3  15.5 99.0  0.08
2006 01 05 01 00 323  6.8  7.6 99.00 99.00 99.00 999 1015.8  20.9  23.2  15.9 99.0  0.18
2006 01 05 02 00 318  5.7  6.3 99.00 99.00 99.00 999 1016.0  20.9  23.1  16.3 99.0  0.25
2006 01 05 03 00 318  5.3  6.2 99.00 99.00 99.00 999 1016.2  20.7  23.0  16.3 99.0  0.28
2006 01 05 04 00 319  5.1  6.0 99.00 99.00 99.00 999 1016.0  20.7  22.9  16.3 99.0  0.37
2006 01 05 05 00 329  5.0  5.4 99.00 99.00 99.00 999 1015.7  20.3  22.8  16.8 99.0  0.52
2006 01 05 06 00 328  5.1  6.0 99.00 99.00 99.00 999 1015.2  20.0  22.7  15.9 99.0  0.63
2006 01 05 07 00 336  7.6  8.6 99.00 99.00 99.00 999 1015.2  19.9  22.6  17.0 99.0  0.64
2006 01 05 08 00 346  5.4  6.3 99.00 99.00 99.00 999 1014.7  19.2  22.5  17.0 99.0  0.55
2006 01 05 09 00 338  4.0  4.5 99.00 99.00 99.00 999 1014.1  19.1  22.4  15.2 99.0  0.50
2006 01 05 10 00 335  3.0  3.3 99.00 99.00 99.00 999 1013.5  19.1  22.3  14.1 99.0  0.36
2006 01 05 11 00 331  4.9  5.4 99.00 99.00 99.00 999 1013.8  19.1  22.1  15.1 99.0  0.28
2006 01 05 12 00 333  5.4  6.2 99.00 99.00 99.00 999 1014.4  19.0  22.0  15.1 99.0  0.23
2006 01 05 13 00 322  2.4  2.8 99.00 99.00 99.00 999 1014.8  19.4  21.9  14.9 99.0  0.21
2006 01 05 14 00 314  2.7  3.3 99.00 99.00 99.00 999 1015.4  19.4  21.9  15.3 99.0  0.21
2006 01 05 15 00 312  2.8  3.8 99.00 99.00 99.00 999 1015.6  19.6  22.0  15.3 99.0  0.15
2006 01 05 16 00 302  3.1  4.2 99.00 99.00 99.00 999 1015.1  19.7  22.1  16.1 99.0  0.19
2006 01 05 17 00 286  3.6  4.5 99.00 99.00 99.00 999 1014.0  19.6  22.2  15.8 99.0  0.37
2006 01 05 18 00 285  5.5  6.8 99.00 99.00 99.00 999 1012.9  19.7  22.3  14.7 99.0  0.52
2006 01 05 19 00 289  5.9  6.7 99.00 99.00 99.00 999 1012.1  19.6  22.4  15.7 99.0  0.56
2006 01 05 20 00 293  6.8  7.9 99.00 99.00 99.00 999 1011.9  19.8  22.5  15.7 99.0  0.48
2006 01 05 21 00 284  6.1  6.9 99.00 99.00 99.00 999 1011.9  20.2  22.6  16.1 99.0  0.42
2006 01 05 22 00 288  8.1  9.3 99.00 99.00 99.00 999 1012.1  20.3  22.6  16.2 99.0  0.36
2006 01 05 23 00 286  6.5  7.5 99.00 99.00 99.00 999 1012.1  20.3  22.5  15.5 99.0  0.27
2006 01 06 00 00 282  8.0  8.8 99.00 99.00 99.00 999 1012.2  20.6  22.3  15.8 99.0  0.27
2006 01 06 01 00 275  6.2  6.7 99.00 99.00 99.00 999 1012.1  20.6  22.3  15.9 99.0  0.32
2006 01 06 02 00 271  6.5  7.5 99.00 99.00 99.00 999 1011.8  20.7  22.3  15.9 99.0  0.36
2006 01 06 03 00 267  6.8  7.5 99.00 99.00 99.00 999 1011.7  20.8  22.2  16.2 99.0  0.32
2006 01 06 04 00 261  7.9  9.4 99.00 99.00 99.00 999 1011.8  20.8  22.0  16.6 99.0  0.25
2006 01 06 05 00 275  7.9  8.9 99.00 99.00 99.00 999 1011.5  21.0  21.9  16.9 99.0  0.31
2006 01 06 06 00 269  7.2  7.9 99.00 99.00 99.00 999 1010.8  21.0  21.8  17.1 99.0  0.43
2006 01 06 07 00 272  7.2  8.1 99.00 99.00 99.00 999 1010.4  20.9  21.8  17.8 99.0  0.52
2006 01 06 08 00 262  7.3  7.8 99.00 99.00 99.00 999 1010.1  21.1  21.6  18.9 99.0  0.52
2006 01 06 09 00 250  6.5  7.5 99.00 99.00 99.00 999 1009.8  21.1  21.5  19.4 99.0  0.49
2006 01 06 10 00 253  7.8  8.9 99.00 99.00 99.00 999 1009.6  21.4  21.4  19.4 99.0  0.46
2006 01 06 11 00 263  6.9  7.8 99.00 99.00 99.00 999 1009.8  21.6  21.4  19.7 99.0  0.38
2006 01 06 12 00 331 11.4 13.2 99.00 99.00 99.00 999 1011.2  20.1  21.3  16.9 99.0  0.38
2006 01 06 13 00 328 12.4 14.2 99.00 99.00 99.00 999 1012.2  19.7  21.2  15.4 99.0  0.44
2006 01 06 14 00 344 12.2 13.9 99.00 99.00 99.00 999 1013.3  18.4  21.0  14.0 99.0  0.53
2006 01 06 15 00 338 10.5 12.0 99.00 99.00 99.00 999 1014.4  17.5  21.0  12.6 99.0  0.60
2006 01 06 16 00 330  9.1 10.6 99.00 99.00 99.00 999 1014.5  17.3  20.9  11.3 99.0  0.57
2006 01 06 17 00 333  7.9  9.0 99.00 99.00 99.00 999 1014.0  17.1  20.8  10.8 99.0  0.49
2006 01 06 18 00 317  8.1  9.2 99.00 99.00 99.00 999 1013.0  17.2  20.8  11.0 99.0  0.46
2006 01 06 19 00 307  7.8  9.0 99.00 99.00 99.00 999 1012.4  17.6  20.8  11.4 99.0  0.54
2006 01 06 20 00 313  9.0 10.8 99.00 99.00 99.00 999 1012.6  17.8  20.8  12.2 99.0  0.56
