YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 03 04 00  67  7.2  7.9 99.00 99.00 99.00 999 1025.5  21.9  21.0  18.1 99.0  0.16
2005 01 03 05 00  74  7.6  8.5 99.00 99.00 99.00 999 1025.2  21.9  21.0  17.9 99.0  0.26
2005 01 03 06 00  69  6.0  6.7 99.00 99.00 99.00 999 1025.0  21.7  21.0  17.9 99.0  0.32
2005 01 03 07 00  71  6.5  7.4 99.00 99.00 99.00 999 1024.7  21.7  21.0  17.8 99.0  0.36
2005 01 03 08 00  63  6.0  6.7 99.00 99.00 99.00 999 1024.4  21.6  21.0  17.8 99.0  0.33
2005 01 03 09 00  56  5.5  6.0 99.00 99.00 99.00 999 1024.4  21.5  21.0  17.5 99.0  0.23
2005 01 03 10 00  54  5.5  6.1 99.00 99.00 99.00 999 1024.3  21.1  20.9  17.9 99.0  0.13
2005 01 03 11 00  45  5.4  6.1 99.00 99.00 99.00 999 1024.5  20.8  20.8  18.2 99.0  0.13
2005 01 03 12 00  42  5.8  6.3 99.00 99.00 99.00 999 1025.0  20.7  20.7  18.1 99.0  0.03
2005 01 03 13 00  47  5.2  5.8 99.00 99.00 99.00 999 1025.3  21.0  20.6  17.8 99.0 -0.01
2005 01 03 14 00   9  2.9  3.2 99.00 99.00 99.00 999 1025.8  21.1  20.6  17.6 99.0 -0.02
2005 01 03 15 00  19  3.3  3.7 99.00 99.00 99.00 999 1025.9  21.0  20.7  18.3 99.0 -0.01
2005 01 03 16 00  34  4.9  5.8 99.00 99.00 99.00 999 1025.7  21.2  20.9  18.4 99.0  0.00
2005 01 03 17 00  55  6.3  7.0 99.00 99.00 99.00 999 1024.7  21.9  20.9  17.6 99.0  0.06
2005 01 03 18 00  57  6.7  7.5 99.00 99.00 99.00 999 1023.5  21.9  21.1  16.7 99.0  0.18
2005 01 03 19 00  57  5.6  6.2 99.00 99.00 99.00 999 1022.9  22.0  21.3  18.0 99.0  0.28
2005 01 03 20 00  62  6.3  7.1 99.00 99.00 99.00 999 1022.4  22.0  21.4  18.3 99.0  0.32
2005 01 03 21 00  60  8.7 10.2 99.00 99.00 99.00 999 1022.4  22.0  21.4  18.2 99.0  0.29
