#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 01 00 00  77  2.4  2.7 99.00 99.00 99.00 999 1022.3  22.8  22.5 999.0 99.0 99.00
2012 01 01 01 00  82  2.8  3.0 99.00 99.00 99.00 999 1022.6  22.7  22.5 999.0 99.0 99.00
2012 01 01 02 00  94  2.6  2.8 99.00 99.00 99.00 999 1023.1  22.8  22.5 999.0 99.0 99.00
2012 01 01 03 00  80  2.4  2.7 99.00 99.00 99.00 999 1023.3  22.8  22.6 999.0 99.0 99.00
2012 01 01 04 00  95  3.0  3.5 99.00 99.00 99.00 999 1023.3  22.8  22.6 999.0 99.0 99.00
2012 01 01 05 00 102  3.8  4.2 99.00 99.00 99.00 999 1022.9  22.9  22.6 999.0 99.0 99.00
2012 01 01 06 00 105  3.5  3.8 99.00 99.00 99.00 999 1022.6  22.9  22.5 999.0 99.0 99.00
2012 01 01 07 00  98  3.8  4.4 99.00 99.00 99.00 999 1022.0  22.7  22.4 999.0 99.0 99.00
2012 01 01 08 00  84  3.2  3.5 99.00 99.00 99.00 999 1021.8  22.5  22.3 999.0 99.0 99.00
2012 01 01 09 00  40  2.6  2.7 99.00 99.00 99.00 999 1021.8  22.2  22.2 999.0 99.0 99.00
2012 01 01 10 00  18  4.1  4.2 99.00 99.00 99.00 999 1021.9  21.4  22.1 999.0 99.0 99.00
2012 01 01 11 00  26  4.5  5.1 99.00 99.00 99.00 999 1022.4  21.4  22.0 999.0 99.0 99.00
2012 01 01 12 00  43  4.1  4.3 99.00 99.00 99.00 999 1022.9  21.6  22.0 999.0 99.0 99.00
2012 01 01 13 00  27  3.8  4.1 99.00 99.00 99.00 999 1023.8  21.4  21.9 999.0 99.0 99.00
2012 01 01 14 00  14  4.6  5.1 99.00 99.00 99.00 999 1024.5  21.1  21.9 999.0 99.0 99.00
2012 01 01 15 00  37  4.2  5.1 99.00 99.00 99.00 999 1025.2  21.6  22.1 999.0 99.0 99.00
2012 01 01 16 00  12  4.6  5.2 99.00 99.00 99.00 999 1024.9  21.9  22.3 999.0 99.0 99.00
2012 01 01 17 00  25  4.2  4.6 99.00 99.00 99.00 999 1024.2  22.3  22.5 999.0 99.0 99.00
2012 01 01 18 00  15  4.0  4.6 99.00 99.00 99.00 999 1023.3  22.7  22.6 999.0 99.0 99.00
2012 01 01 19 00  25  3.4  4.0 99.00 99.00 99.00 999 1022.5  23.0  22.7 999.0 99.0 99.00
2012 01 01 20 00  58  2.9  3.4 99.00 99.00 99.00 999 1022.0  22.9  22.9 999.0 99.0 99.00
2012 01 01 21 00  62  2.7  3.0 99.00 99.00 99.00 999 1022.0  23.2  23.0 999.0 99.0 99.00
2012 01 01 22 00  70  3.2  3.7 99.00 99.00 99.00 999 1022.2  23.3  23.0 999.0 99.0 99.00
2012 01 01 23 00  71  3.3  3.8 99.00 99.00 99.00 999 1022.7  23.1  23.0 999.0 99.0 99.00
2012 01 02 00 00  93  3.9  4.2 99.00 99.00 99.00 999 1022.7  23.0  22.9 999.0 99.0 99.00
2012 01 02 01 00  65  3.1  3.4 99.00 99.00 99.00 999 1023.2  22.8  22.8 999.0 99.0 99.00
2012 01 02 02 00  75  2.5  2.8 99.00 99.00 99.00 999 1023.3  22.8  22.8 999.0 99.0 99.00
2012 01 02 03 00  82  2.0  2.2 99.00 99.00 99.00 999 1023.1  22.5  22.8 999.0 99.0 99.00
2012 01 02 04 00   9  2.7  3.0 99.00 99.00 99.00 999 1023.1  22.4  22.9 999.0 99.0 99.00
2012 01 02 05 00 353  7.3  7.9 99.00 99.00 99.00 999 1023.0  22.0  22.9 999.0 99.0 99.00
2012 01 02 06 00 359  4.8  5.4 99.00 99.00 99.00 999 1022.2  21.9  22.8 999.0 99.0 99.00
2012 01 02 09 00 356  5.1  5.9 99.00 99.00 99.00 999 1020.8  21.3  22.5 999.0 99.0 99.00
2012 01 02 10 00   0  4.3  4.8 99.00 99.00 99.00 999 1020.4  21.1  22.3 999.0 99.0 99.00
2012 01 02 11 00 355  4.8  5.4 99.00 99.00 99.00 999 1020.8  20.8  22.2 999.0 99.0 99.00
2012 01 02 12 00   4  4.7  5.0 99.00 99.00 99.00 999 1021.1  20.5  22.2 999.0 99.0 99.00
2012 01 02 13 00   9  3.8  4.2 99.00 99.00 99.00 999 1021.7  20.4  22.1 999.0 99.0 99.00
2012 01 02 14 00 359  3.2  3.6 99.00 99.00 99.00 999 1022.0  20.3  22.1 999.0 99.0 99.00
2012 01 02 15 00 356  1.6  1.9 99.00 99.00 99.00 999 1022.5  20.5  22.1 999.0 99.0 99.00
2012 01 02 16 00 309  1.4  1.6 99.00 99.00 99.00 999 1022.5  21.3  22.2 999.0 99.0 99.00
2012 01 02 17 00 293  2.2  2.4 99.00 99.00 99.00 999 1021.8  21.5  22.4 999.0 99.0 99.00
2012 01 02 18 00 307  3.6  4.0 99.00 99.00 99.00 999 1020.6  22.0  22.6 999.0 99.0 99.00
2012 01 02 19 00 318  5.1  5.8 99.00 99.00 99.00 999 1019.8  21.8  22.8 999.0 99.0 99.00
2012 01 02 20 00 308  4.7  5.3 99.00 99.00 99.00 999 1019.7  21.8  22.9 999.0 99.0 99.00
2012 01 02 21 00 292  5.1  5.7 99.00 99.00 99.00 999 1019.7  22.0  22.9 999.0 99.0 99.00
2012 01 02 22 00 297  5.9  6.8 99.00 99.00 99.00 999 1020.4  22.2  22.9 999.0 99.0 99.00
2012 01 02 23 00 328 11.1 12.1 99.00 99.00 99.00 999 1020.7  21.4  22.8 999.0 99.0 99.00
2012 01 03 00 00 320 10.5 11.8 99.00 99.00 99.00 999 1021.5  20.7  22.8 999.0 99.0 99.00
2012 01 03 01 00 323 10.7 13.6 99.00 99.00 99.00 999 1022.3  20.4  22.6 999.0 99.0 99.00
2012 01 03 02 00 324 11.6 13.3 99.00 99.00 99.00 999 1023.0  19.7  22.4 999.0 99.0 99.00
2012 01 03 03 00 340 11.4 12.4 99.00 99.00 99.00 999 1023.2  18.9  22.3 999.0 99.0 99.00
2012 01 03 04 00 347 11.9 13.8 99.00 99.00 99.00 999 1023.3  18.7  22.1 999.0 99.0 99.00
2012 01 03 05 00 351 10.3 11.3 99.00 99.00 99.00 999 1022.7  16.9  21.8 999.0 99.0 99.00
