"","source_file","total_area_m2","n_patches","easting","northing"
"64","2021_09_monthly_frequency_FLBAY.tif",289228.93582789,2,510320.294316027,2773320.94753474
"65","2021_10_monthly_frequency_FLBAY.tif",231226.320791877,2,520499.992496515,2782579.74766566
"66","2021_11_monthly_frequency_FLBAY.tif",983153.107583476,1,528652.620580733,2776515.63075617
"67","2021_12_monthly_frequency_FLBAY.tif",2948658.0743388,3,520756.299019879,2780192.99044048
"68","2022_01_monthly_frequency_FLBAY.tif",5958067.11854533,1,525232.907454955,2773519.63129282
"69","2022_02_monthly_frequency_FLBAY.tif",1272016.51831971,2,518326.940617412,2779669.24509658
"70","2022_03_monthly_frequency_FLBAY.tif",4741319.37026332,3,518967.947895536,2779200.37479864
"71","2022_04_monthly_frequency_FLBAY.tif",18912554.6822711,10,514157.793344069,2775552.89378342
"72","2022_05_monthly_frequency_FLBAY.tif",11916500.0885188,4,518660.632608133,2773088.60707735
"73","2022_06_monthly_frequency_FLBAY.tif",83468732.4595322,8,522046.893355772,2773842.565589
"74","2022_07_monthly_frequency_FLBAY.tif",162716782.327709,4,521506.764764598,2768857.20988993
"75","2022_08_monthly_frequency_FLBAY.tif",155546315.007717,8,511426.197776048,2768418.98331831
"76","2022_09_monthly_frequency_FLBAY.tif",189328119.029121,10,517722.147261788,2761000.71545238
"77","2022_10_monthly_frequency_FLBAY.tif",155641515.560858,5,519240.979594058,2760084.61823527
"78","2022_11_monthly_frequency_FLBAY.tif",34186009.7484323,3,523294.287923037,2773739.83046539
"79","2022_12_monthly_frequency_FLBAY.tif",14865266.8913705,4,521841.391382293,2774396.54545679
"80","2023_01_monthly_frequency_FLBAY.tif",2429337.54162273,3,518947.09527641,2774372.9996766
"81","2023_02_monthly_frequency_FLBAY.tif",1561677.98700397,2,511339.372486763,2774731.06331412
"82","2023_03_monthly_frequency_FLBAY.tif",694028.118323131,2,513577.013078207,2775751.56777956
"83","2023_04_monthly_frequency_FLBAY.tif",289175.363635592,2,510634.216079006,2775779.55952624
"84","2023_05_monthly_frequency_FLBAY.tif",347208.001830622,1,526597.356713352,2768203.26466451
"85","2023_06_monthly_frequency_FLBAY.tif",867694.243095632,3,521721.14184058,2773273.26423584
"86","2023_07_monthly_frequency_FLBAY.tif",8964435.45899509,5,522982.895351894,2775888.04056646
"87","2023_08_monthly_frequency_FLBAY.tif",17824545.8911727,8,508458.843226214,2767183.7053614
"88","2023_09_monthly_frequency_FLBAY.tif",23769897.9171762,5,522215.78812914,2776096.10256146
"89","2023_10_monthly_frequency_FLBAY.tif",8210517.29047749,4,521125.942693794,2779305.93339677
"90","2023_11_monthly_frequency_FLBAY.tif",4220241.18759933,4,518163.313801446,2781425.91773376
"91","2023_12_monthly_frequency_FLBAY.tif",8037814.22781549,2,518768.61872187,2778026.69264363
"92","2024_01_monthly_frequency_FLBAY.tif",8674948.10599147,1,520169.072961765,2776382.77566788
"93","2024_02_monthly_frequency_FLBAY.tif",6707862.19237185,2,523985.390266997,2777948.04472686
"94","2024_03_monthly_frequency_FLBAY.tif",1618825.22947164,2,519316.233532187,2780554.56795994
"95","2024_04_monthly_frequency_FLBAY.tif",4336740.58519136,2,520346.632881057,2778680.26518832
"96","2024_05_monthly_frequency_FLBAY.tif",3006969.4748715,2,519034.960860857,2777955.45191832
"97","2024_06_monthly_frequency_FLBAY.tif",44014780.0410456,4,519809.180975915,2775212.16875425
"98","2024_07_monthly_frequency_FLBAY.tif",53386984.7467917,3,520544.825753578,2774594.7579275
"99","2024_08_monthly_frequency_FLBAY.tif",48294690.0845914,4,523915.074041263,2775241.38578457
"100","2024_09_monthly_frequency_FLBAY.tif",55870915.2549129,2,524783.935358118,2775377.562986
"101","2024_10_monthly_frequency_FLBAY.tif",42746398.5845793,5,520616.056678445,2773919.05962399
"102","2024_11_monthly_frequency_FLBAY.tif",3121753.61435804,3,518324.620908631,2781695.31837468
"103","2024_12_monthly_frequency_FLBAY.tif",2890866.69409924,3,520494.607331023,2780056.73251304
"104","2025_01_monthly_frequency_FLBAY.tif",2717749.89655685,1,520690.823320244,2778392.07876848
"105","2025_02_monthly_frequency_FLBAY.tif",8731517.85275461,3,518253.088096911,2778356.07740409
"106","2025_03_monthly_frequency_FLBAY.tif",21630820.4394798,3,523887.647818645,2775596.06403565
"107","WY2017_annual_frequency_FLBAY.tif",289190.378591953,2,517989.070032508,2775200.10489203
"108","WY2018_annual_frequency_FLBAY.tif",866999.974666588,5,514963.545343823,2784061.58895549
"109","WY2019_annual_frequency_FLBAY.tif",982816.853629386,2,519895.391653894,2781134.96218018
"110","WY2023_annual_frequency_FLBAY.tif",57821.1127337331,1,520504.593628524,2779181.79844103
"111","WY2024_annual_frequency_FLBAY.tif",231244.62853196,2,519756.678102304,2781508.48079249
"112","WY2025_annual_frequency_FLBAY.tif",462484.312832284,1,519813.936515811,2781665.91108487
