,,Sampling_event,sample_dry_weight,CN_weight,C_weight,N_weight,C_mol_weight,N_mol_weight,C_N,Site_code,Sub Sample weight (g),Pan weight(g),Ash weight w/pan (g),organic material (g),inorganic material (g)
45,JB ,4-24,153.1,4.087,11.98,0.37,0.998,0.026,38.136,JB ,3.4123,1.1056,4.0238,0.4941,2.9182
46,CC,4-24,120.5,4.243,11.90,0.13,0.991,0.009,106.151,CC,4.1646,1.1080,5.0126,0.2600,3.9046
47,GB1,4-24,75.4,4.128,13.23,0.46,1.102,0.033,33.470,GB1,3.8675,1.1211,4.2583,0.7303,3.1372
48,WB1,4-24,191.7,6.406,12.53,0.28,1.043,0.020,53.142,WB1,3.9338,1.1060,4.5281,0.5117,3.4221
49,MCS1 ,4-24,63.6,4.196,12.46,0.41,1.037,0.029,35.727,MCS1 ,3.0020,1.1104,3.5153,0.5971,2.4049
50,MCSY,4-24,66.7,3.762,16.46,0.52,1.371,0.037,37.182,MCSY,3.8402,1.0902,4.1951,0.7353,3.1049
51,MCS2 ,4-24,134.1,3.426,14.04,0.32,1.169,0.023,51.122,MCS2 ,3.7705,1.1028,4.4831,0.3902,3.3803
52,MCS3 ,4-24,159.0,3.868,11.37,0.19,0.946,0.014,68.300,MCS3 ,3.8585,1.1023,4.6477,0.3131,3.5454
53,ACS1 ,4-24,37.8,3.396,14.10,0.38,1.174,0.027,42.800,ACS1 ,3.6295,1.1094,4.1850,0.5539,3.0756
54,ACS2 ,4-24,176.2,4.458,12.84,0.21,1.069,0.015,70.926,ACS2 ,3.8654,1.1108,4.6357,0.3405,3.5249
55,TSM1,4-24,96.6,4.069,16.52,0.75,1.375,0.054,25.613,TSM1,3.4479,1.1213,4.0721,0.4971,2.9508
56,TSM4,4-24,2.9,4.51,44.36,2.93,3.694,0.209,17.634,TSM4,1.4725,1.0854,1.2341,1.3238,0.1487
57,NC1,4-24,67.0,3.836,18.37,0.88,1.530,0.063,24.368,NC1,4.1695,1.1055,4.5185,0.7565,3.4130
58,ACS3 ,4-24,79.6,4.477,10.92,0.26,0.909,0.018,49.277,ACS3 ,3.7273,1.1024,4.2502,0.5795,3.1478
59,ACS5 ,4-24,103.6,4.901,12.09,0.28,1.007,0.020,49.971,ACS5 ,3.4783,1.1030,4.0432,0.5381,2.9402
60,TBHM ,4-24,83.8,4.724,13.77,0.51,1.147,0.036,31.692,TBHM ,3.6004,1.1117,3.9446,0.7675,2.8329
61,DC1,4-24,100.2,5.26,12.25,0.42,1.020,0.030,34.150,DC1,4.0500,1.0999,4.4813,0.6686,3.3814
62,TB1 ,4-24,186.2,3.181,11.62,0.22,0.967,0.016,61.331,TB1 ,4.3402,1.0952,4.9871,0.4483,3.8919
63,TB2 ,4-24,58.8,4.922,11.96,0.20,0.996,0.014,70.297,TB2 ,4.1092,1.1254,4.8615,0.3731,3.7361
64,WB2,4-24,188.9,4.567,12.63,0.30,1.052,0.021,49.915,WB2,3.8585,1.1046,4.5638,0.3993,3.4592
65,TSM3,4-24,94.0,4.599,15.42,0.58,1.284,0.041,30.967,TSM3,4.1366,1.1157,4.8115,0.4408,3.6958
66,GB2,4-24,140.4,3.771,12.05,0.43,1.004,0.031,32.411,GB2,3.7754,1.0933,4.2274,0.6413,3.1341
67,ACS4 ,4-24,173.5,4.134,11.90,0.19,0.991,0.014,71.781,ACS4 ,3.8056,1.1198,4.5393,0.3861,3.4195
68,DC2,4-24,167.1,4.364,11.00,0.18,0.916,0.013,71.238,DC2,3.5524,1.1112,4.2704,0.3932,3.1592
69,DCM1,4-24,90.1,3.633,13.12,0.60,1.093,0.043,25.406,DCM1,3.1302,1.1021,3.5156,0.7167,2.4135
70,TKB ,4-24,235.5,4.866,11.67,0.17,0.971,0.012,79.295,TKB ,4.4210,1.1113,5.2554,0.2769,4.1441
71,SBT1 ,4-24,9.3,3.167,31.01,1.92,2.582,0.137,18.885,SBT1 ,3.7065,1.0874,2.4776,2.3163,1.3902
72,SBT2,4-24,127.5,3.86,11.26,0.28,0.937,0.020,46.135,SBT2,3.2690,1.1136,3.8728,0.5098,2.7592
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"* combined DCM samples, both labeld ""DCM2""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
