Sample_code,Site_code,Sampling_event,Filtered.Unfiltered,Collected,Submitted,Returned,N.N_um.L,N.N_MDL,N.N_FLAG,NO3.N_um.L,NO2.N_um.L,NO2.N_MDL,NO2.N_FLAG,NH3.NH4.N_um.L,NH3.NH4.N_MDL,NH3.NH4.N_FLAG,TN_um.L,TN_MDL,TN_FLAG,TP_um.L,TP_MDL,TP_FLAG,SRP_um.L,SRP_MDL,SRP_FLAG,TOC_um.L,TOC_MDL,TOC_FLAG
ACS1_1-24_UF1,ACS1,45681,UF,1/11/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.7,3.5,NA,2,0.031,,,NA,,1193,10.4,NA
ACS1_11-24_UF1,ACS1,45985,UF,1/12/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.4,3.5,NA,1.053,0.016,,,NA,,770.9,10.4,NA
ACS1_1123E_F1,ACS1,1123E,F,1/13/2024,1/29/2024,3/1/2024,0.668,0.124,I,NA,0.364,0.015,NA,0.542,0.196,I,NA,NA,NA,NA,NA,,0.072,0.062,I,NA,NA,NA
ACS1_4-24_F1,ACS1,45771,F,1/14/2024,11/23/2024,3/21/2025,2.623,0.124,NA,2.278,0.345,0.015,NA,2.108,0.196,NA,NA,NA,NA,NA,NA,,0.219,0.062,I,NA,NA,NA
ACS1_4-24_UF1,ACS1,45771,UF,1/15/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.8,3.5,NA,2.41,0.212,,,NA,,1632,10.4,NA
ACS1_4-24_UF1,ACS1,45771,UF,1/16/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.8,3.5,NA,2.41,0.212,,,NA,,1632,10.4,NA
ACS1_8-24_UF1,ACS1,45893,UF,1/17/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.3,3.5,NA,4.087,0.212,,,NA,,1889,10.4,NA
ACS2_1-24_UF1,ACS2,45681,UF,1/18/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.6,3.5,NA,1.774,0.031,,,NA,,1788,10.4,NA
ACS2_4-24_F1,ACS2,45771,F,1/19/2024,11/23/2024,3/21/2025,1.567,0.124,NA,1.239,0.328,0.015,NA,0.443,0.196,I,NA,NA,NA,NA,NA,,0.239,0.062,I,NA,NA,NA
ACS2_4-24_UF1,ACS2,45771,UF,1/20/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3,3.5,NA,2.796,0.212,,,NA,,1429,10.4,NA
ACS2_4-24_UF1,ACS2,45771,UF,1/21/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.3,3.5,NA,2.796,0.212,,,NA,,1429,10.4,NA
ACS2_8-24_UF1,ACS2,45893,UF,1/22/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,3.5,NA,1.271,0.016,,,NA,,1013,10.4,NA
ACS3_1-24_UF1,ACS3,45681,UF,1/23/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.6,3.5,NA,1.916,0.031,,,NA,,1916,10.4,NA
ACS3_4-24_F1,ACS3,45771,F,1/24/2024,11/23/2024,3/21/2025,0.964,0.124,NA,0.375,0.589,0.015,NA,1.639,0.196,NA,NA,NA,NA,NA,NA,,0.645,0.062,,NA,NA,NA
ACS3_4-24_UF1,ACS3,45771,UF,1/25/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,3.5,NA,3.196,0.212,,,NA,,914.2,10.4,NA
